Player,Zone %,Zone Swing %,Zone Contact %,Chase %,Chase Contact %,Edge %,1st Pitch Swing %,Swing %,Whiff %,Meatball %,Meatball Swing %,BBE,GB %,FB %,LD %,PU %,Pull %,Straight %,Oppo %,Weak %,Topped %,Under %,Flare/Burner %,Solid %,Launch Angle Sweet-Spot %,Pitches,Batted Balls,Barrels,Barrel %,Hard Hit %,Exit Velocity,Launch Angle,XBA,XSLG,XWOBA,XWOBACON,,Hit_Score,Walk_Score,Bats_Score,Bases_Score
"Thaiss, Matt",49.3,68.3,65.4,22.0,44.0,45.9,43.5,44.8,39.6,6.0,82.2,100,40.0,28.0,23.0,9.0,34.0,39.0,27.0,9.0,28.0,27.0,20.0,8.0,33.0,754,100,8,8.0,40.0,86.6,12.9,0.194,0.323,0.291,0.349,,-0.36,-0.223,-0.222,0.47
"O'Hoppe, Logan",47.0,72.4,77.3,34.0,45.7,41.4,36.0,52.0,33.6,6.9,80.1,326,38.0,29.4,26.4,6.1,42.3,35.3,22.4,3.1,26.7,24.5,26.7,7.1,42.9,1983,326,39,12.0,46.3,90.4,15.3,0.251,0.454,0.331,0.442,,3.573,-0.214,-0.214,4.634
"Adams, Jordyn",50.0,72.2,75.4,31.6,48.0,44.3,36.8,51.9,31.7,5.7,88.9,23,43.5,26.1,26.1,4.3,39.1,26.1,34.8,4.3,34.8,26.1,30.4,0.0,34.8,158,23,1,4.3,30.4,88.0,10.5,0.253,0.38,0.307,0.417,,0.285,-0.226,-0.226,-0.825
"Paris, Kyren",48.1,69.9,78.5,20.5,40.0,33.2,32.2,44.4,29.8,9.4,72.7,34,52.9,20.6,26.5,0.0,26.5,38.2,35.3,0.0,50.0,17.6,11.8,14.7,32.4,234,34,2,5.9,35.3,87.8,6.3,0.182,0.31,0.269,0.317,,-1.333,-0.225,-0.225,-1.299
"Stefanic, Michael",57.1,55.3,93.4,23.2,70.8,44.2,21.0,41.5,10.5,9.8,66.0,91,60.4,13.2,22.0,4.4,26.4,48.4,25.3,6.6,40.7,24.2,26.4,1.1,24.2,482,91,1,1.1,26.4,85.1,7.0,0.205,0.256,0.254,0.246,,-3.22,-0.223,-0.223,-4.901
"Moniak, Mickey",48.1,75.1,77.3,39.7,53.2,44.1,37.8,56.7,30.6,6.9,79.2,279,36.2,29.0,21.1,13.6,46.6,33.0,20.4,6.1,23.3,35.1,20.8,5.0,31.9,1534,279,26,9.3,34.4,88.1,19.8,0.221,0.379,0.283,0.361,,0.856,-0.216,-0.216,1.866
"Pillar, Kevin",48.4,67.8,85.4,37.9,58.5,41.6,30.3,52.4,24.5,7.3,81.8,219,36.1,31.5,22.4,10.0,42.0,37.4,20.5,5.0,25.6,35.2,22.8,7.8,36.5,1206,219,8,3.7,29.7,84.6,17.9,0.221,0.329,0.275,0.312,,-0.936,-0.218,-0.218,-1.553
"Rendon, Anthony",54.1,59.4,91.4,17.4,71.8,43.3,18.5,40.1,12.5,9.1,66.3,175,43.4,26.3,21.1,9.1,32.0,35.4,32.6,2.9,32.0,30.3,23.4,8.6,31.4,977,175,4,2.3,37.1,87.9,14.1,0.224,0.313,0.286,0.278,,-1.389,-0.22,-0.22,-2.727
"Wagaman, Eric",50.9,73.0,90.0,29.5,51.3,41.3,37.8,51.7,20.9,8.9,83.3,55,41.8,25.5,27.3,5.5,21.8,43.6,34.5,1.8,25.5,25.5,27.3,12.7,38.2,269,55,3,5.5,40.0,91.7,8.3,0.267,0.412,0.302,0.383,,3.09,-0.225,-0.225,1.502
"Campero, Gustavo",52.0,78.3,79.2,36.5,64.5,44.1,41.7,58.2,22.3,6.8,83.3,38,50.0,15.8,23.7,10.5,31.6,39.5,28.9,10.5,42.1,18.4,21.1,5.3,28.9,177,38,1,2.6,15.8,83.8,7.7,0.228,0.297,0.251,0.279,,-2.757,-0.225,-0.225,-4.357
"Teodosio, Bryce",51.2,86.4,42.1,38.1,50.0,46.5,58.3,62.8,51.9,7.0,100.0,7,71.4,14.3,14.3,0.0,14.3,71.4,14.3,14.3,42.9,14.3,28.6,0.0,28.6,43,7,0,0.0,14.3,78.9,5.9,0.121,0.14,0.114,0.196,,-4.417,-0.226,-0.226,-4.858
"McCarthy, Jake",50.7,67.0,91.1,31.1,58.4,42.6,32.3,49.3,17.6,8.4,80.0,372,52.2,21.0,21.8,5.1,35.5,40.1,24.5,10.2,35.8,21.0,25.8,4.3,30.4,1786,372,10,2.7,24.5,84.5,9.1,0.265,0.359,0.311,0.331,,-1.902,-0.233,-0.233,-4.293
"Perdomo, Geraldo",53.5,58.9,89.6,19.3,71.1,46.8,21.6,40.5,12.2,8.1,75.0,291,44.0,25.1,21.6,9.3,36.4,35.4,28.2,7.2,29.9,31.3,25.4,3.1,28.9,1580,291,9,3.1,25.8,87.0,16.9,0.231,0.314,0.281,0.282,,-4.727,-0.236,-0.236,-5.53
"Suárez, Eugenio",50.6,66.9,81.2,27.0,44.8,42.3,33.8,47.2,29.1,7.9,78.5,406,32.5,33.3,26.4,7.9,49.3,28.8,21.9,4.7,20.4,28.8,25.6,8.9,40.4,2542,406,46,11.3,42.4,89.1,19.5,0.247,0.447,0.33,0.421,,0.19,-0.232,-0.231,2.406
"Grichuk, Randal",48.0,67.6,88.7,28.6,59.9,38.6,26.5,47.3,20.4,7.6,73.5,210,36.2,29.0,22.4,12.4,44.8,37.6,17.6,3.3,23.8,31.0,23.3,7.6,34.3,1088,210,23,11.0,47.6,90.6,17.3,0.278,0.483,0.359,0.401,,2.394,-0.239,-0.239,3.376
"Del Castillo, Adrian",49.4,69.3,77.4,30.6,50.0,43.5,26.4,49.7,31.1,9.2,90.3,52,32.7,38.5,23.1,5.8,40.4,28.8,30.8,3.8,23.1,30.8,26.9,3.8,36.5,336,52,6,11.5,34.6,87.6,18.3,0.215,0.389,0.293,0.397,,-1.612,-0.245,-0.245,1.121
"Barrosa, Jorge",51.6,68.8,77.3,40.0,100.0,45.2,16.7,54.8,14.7,11.3,57.1,16,56.3,6.3,25.0,12.5,25.0,56.3,18.8,12.5,37.5,6.3,37.5,0.0,31.3,62,16,1,6.3,25.0,83.2,9.5,0.342,0.427,0.337,0.382,,0.709,-0.246,-0.246,-1.087
"Carroll, Corbin",47.2,59.8,85.8,24.9,62.8,41.2,25.6,41.4,20.3,7.3,67.7,471,44.6,22.1,21.2,12.1,37.8,36.5,25.7,4.0,35.7,27.0,18.7,7.0,27.8,2648,471,34,7.2,40.8,89.3,12.0,0.241,0.391,0.324,0.349,,-0.784,-0.229,-0.229,-0.476
"Bell, Josh",46.6,73.4,81.2,27.4,54.4,43.8,37.0,48.8,26.8,6.2,82.7,421,49.6,23.5,21.1,5.7,41.3,31.8,26.8,4.3,37.3,22.6,21.4,6.2,31.4,2238,421,32,7.6,40.1,88.9,10.5,0.235,0.391,0.307,0.343,,-0.237,-0.231,-0.231,-0.06
"Thomas, Alek",53.0,66.0,83.1,30.3,52.8,43.5,30.1,49.2,25.1,8.9,66.7,79,60.8,19.0,20.3,0.0,44.3,35.4,20.3,5.1,48.1,11.4,20.3,7.6,26.6,372,79,6,7.6,46.8,91.2,1.0,0.278,0.446,0.337,0.379,,2.545,-0.244,-0.244,1.552
"Marte, Ketel",49.0,71.3,85.6,26.0,59.6,42.4,29.6,48.2,21.3,7.3,82.7,407,48.9,24.8,21.4,4.9,47.4,35.9,16.7,2.0,35.4,18.2,24.6,7.4,33.7,2146,407,50,12.3,53.8,94.0,9.4,0.294,0.538,0.392,0.447,,4.083,-0.232,-0.232,5.008
"Herrera, Jose",51.9,61.2,83.0,19.9,50.0,40.3,16.7,41.3,24.2,9.2,67.4,78,52.6,17.9,23.1,6.4,52.6,33.3,14.1,12.8,35.9,17.9,25.6,7.7,34.6,501,78,0,0.0,23.1,84.5,9.0,0.214,0.268,0.25,0.289,,-5.224,-0.244,-0.244,-7.159
"Moreno, Gabriel",52.2,59.2,85.0,21.6,70.9,44.4,15.1,41.2,18.5,9.3,66.4,256,49.6,21.1,23.8,5.5,27.3,41.8,30.9,2.3,40.6,21.9,22.7,5.9,33.6,1532,256,17,6.6,41.0,90.0,8.8,0.255,0.384,0.325,0.331,,-0.441,-0.237,-0.237,-0.87
"Gurriel Jr., Lourdes",49.7,69.5,88.2,32.9,62.3,41.7,31.9,51.1,20.2,7.3,77.8,417,38.1,27.1,26.1,8.6,40.5,31.9,27.6,3.4,28.3,28.8,25.7,7.2,33.8,2083,417,28,6.7,40.0,88.4,15.7,0.267,0.421,0.319,0.365,,0.696,-0.231,-0.232,0.188
"Smith, Pavin",49.4,59.3,85.9,17.9,54.4,41.4,19.0,38.4,21.5,7.8,69.4,109,43.1,28.4,22.9,5.5,41.3,41.3,17.4,4.6,30.3,22.0,25.7,2.8,34.9,631,109,16,14.7,44.0,90.2,13.1,0.29,0.525,0.392,0.455,,1.002,-0.243,-0.243,3.403
"Alexander, Blaze",48.5,75.1,81.2,29.2,43.9,44.7,38.4,51.5,29.6,7.4,86.8,118,52.5,25.4,16.1,5.9,25.4,36.4,38.1,6.8,37.3,23.7,22.9,5.9,22.9,714,118,4,3.4,34.7,88.5,8.5,0.204,0.281,0.258,0.3,,-0.933,-0.242,-0.242,-2.402
"Newman, Kevin",52.1,68.3,89.0,28.3,63.4,42.9,31.9,49.2,17.3,6.9,74.3,248,50.0,19.8,23.0,7.3,33.9,37.5,28.6,5.6,36.7,24.2,30.2,1.6,25.0,1070,248,4,1.6,23.4,85.6,9.7,0.256,0.323,0.271,0.301,,-2.617,-0.238,-0.238,-5.28
"Walker, Christian",48.6,73.1,82.5,24.3,51.2,41.6,25.0,48.0,25.6,7.9,78.0,354,37.9,31.9,22.3,7.9,41.0,34.7,24.3,3.1,25.1,28.0,23.2,7.1,35.0,2315,354,47,13.3,48.0,91.2,16.6,0.246,0.457,0.351,0.424,,1.402,-0.234,-0.233,3.661
"Pederson, Joc",46.3,60.7,81.1,29.5,62.4,43.4,18.3,44.0,25.0,5.5,62.6,266,39.8,28.6,22.6,9.0,48.9,36.1,15.0,2.6,26.7,25.9,24.8,5.6,34.2,1810,266,34,12.8,46.2,92.3,16.9,0.261,0.477,0.376,0.439,,1.861,-0.237,-0.236,4.498
