Player,AB,H,2B,3B,HR,BB,,TB,Runs
"Steer, Spencer",574,129,34,4,20,72,,231,72.0
"Fairchild, Stuart",209,45,8,0,8,17,,77,21.0
"Encarnacion-Strand, Christian",116,22,6,0,2,4,,34,7.0
"Marte, Noelvi",229,48,9,0,4,9,,69,17.0
"Candelario, Jeimer",427,96,23,2,20,27,,183,50.0
"Hurtubise, Jacob",54,10,1,1,0,6,,13,3.0
"France, Ty",479,112,24,0,13,38,,175,51.0
"Friedl, TJ",297,67,5,1,13,26,,113,33.0
"Hedges, Austin",132,20,3,0,2,6,,29,5.0
"Ramírez, José",620,173,39,2,39,54,,333,112.0
"Naylor, Josh",563,137,27,0,31,58,,257,81.0
"Schneemann, Daniel",193,42,10,2,5,25,,71,22.0
"Arias, Gabriel",153,34,9,1,3,6,,54,14.0
"Naylor, Bo",354,71,10,2,13,29,,124,32.0
"Brennan, Will",330,87,13,2,8,19,,128,39.0
"Straw, Myles",4,1,0,0,0,0,,1,0.0
"Thomas, Lane",472,112,26,3,15,44,,189,57.0
"Noel, Jhonkensy",179,39,7,1,13,13,,87,24.0
"Kwan, Steven",480,140,16,3,14,53,,204,74.0
"Fry, David",335,88,18,1,14,42,,150,52.0
"Manzardo, Kyle",145,34,12,0,5,9,,61,17.0
"Rocchio, Brayan",383,79,18,0,8,44,,121,35.0
"Giménez, Andrés",583,147,22,1,9,26,,198,56.0
"Martínez, Angel",151,35,7,0,3,15,,51,15.0
"Rodríguez, Johnathan",31,4,1,0,0,9,,5,2.0
"Freeman, Tyler",330,69,14,1,7,28,,106,29.0
"Schunk, Aaron",94,22,3,0,2,4,,31,8.0
"Doyle, Brenton",542,141,24,4,23,46,,242,77.0
"Toglia, Michael",399,87,14,3,25,54,,182,57.0
"McMahon, Ryan",567,137,28,0,20,69,,225,73.0
"Rodgers, Brendan",501,134,29,1,13,31,,204,63.0
"Stallings, Jacob",243,64,17,1,9,27,,110,37.0
"Jones, Greg",5,1,0,0,1,1,,4,1.0
"Jones, Nolan",256,58,13,1,3,36,,82,26.0
"Tovar, Ezequiel",655,176,45,4,26,23,,307,90.0
"Hilliard, Sam",138,33,5,1,10,14,,70,22.0
"Goodman, Hunter",211,40,9,0,13,8,,88,19.0
"Bryant, Kris",133,29,5,0,2,13,,40,12.0
"Beck, Jordan",170,32,6,0,3,12,,47,11.0
"Bouchard, Sean",91,17,7,0,1,12,,27,8.0
"Romo, Drew",51,9,3,0,0,2,,12,2.0
"Amador, Adael",35,6,1,0,0,1,,7,1.0
"Cave, Jake",323,81,16,5,7,18,,128,37.0
"Ibáñez, Andy",224,54,9,1,5,15,,80,23.0
"Greene, Riley",512,134,27,6,24,64,,245,84.0
"Kreidler, Ryan",59,7,0,0,1,6,,10,2.0
"Meadows, Parker",270,66,12,6,9,25,,117,36.0
"Jung, Jace",79,19,5,0,0,15,,24,9.0
"Rogers, Jake",310,61,16,1,10,22,,109,27.0
"Madris, Bligh",67,18,3,0,1,6,,24,8.0
"Sweeney, Trey",110,24,5,0,4,7,,41,11.0
"Baddoo, Akil",73,10,2,2,2,8,,22,5.0
"Vierling, Matt",518,133,28,5,16,41,,219,68.0
"McKinstry, Zach",297,64,14,5,4,24,,100,27.0
"Dingler, Dillon",84,14,5,2,1,3,,26,5.0
"Carpenter, Kerry",264,75,16,5,18,22,,155,53.0
"Keith, Colt",516,134,15,4,13,36,,196,60.0
"Torkelson, Spencer",342,75,21,1,10,33,,128,37.0
"Báez, Javier",272,50,12,0,6,12,,80,17.0
"Malloy, Justyn-Henry",202,41,7,1,8,23,,74,21.0
"Pérez, Wenceel",389,94,16,6,9,32,,149,45.0
"Vilade, Ryan",45,8,0,0,1,2,,11,2.0
"Pasquantino, Vinnie",496,130,30,2,19,40,,221,70.0
"Gurriel, Yuli",54,13,3,0,0,9,,16,6.0
"DeJong, Paul",445,101,17,0,24,23,,190,50.0
"Massey, Michael",332,86,17,2,14,15,,149,43.0
"Hampson, Garrett",213,49,13,1,0,14,,64,18.0
"Pham, Tommy",440,109,20,3,9,35,,162,49.0
"Grossman, Robbie",208,44,8,0,3,34,,61,20.0
"Velázquez, Nelson",205,41,8,1,8,19,,75,20.0
"Isbel, Kyle",384,88,13,8,8,27,,141,39.0
"Loftin, Nick",148,28,4,0,1,19,,35,10.0
"Gentry, Tyler",5,0,0,0,0,0,,0,0.0
"Blanco, Dairon",120,31,4,0,4,8,,47,14.0
"Witt Jr., Bobby",636,211,45,11,32,57,,374,145.0
"Renfroe, Hunter",385,88,18,0,15,36,,151,44.0
"Perez, Salvador",590,160,28,0,27,44,,269,87.0
"Frazier, Adam",262,53,10,1,4,22,,77,20.0
"Garcia, Maikel",575,133,27,5,7,42,,191,54.0
"Waters, Drew",16,3,1,0,0,2,,4,1.0
"Melendez, MJ",412,85,23,3,17,35,,165,44.0
"Fermin, Freddy",339,92,14,0,6,23,,124,39.0
"Hernández, Enrique",362,83,16,0,12,27,,135,38.0
"Lux, Gavin",439,110,24,2,10,44,,168,54.0
"Ohtani, Shohei",636,197,38,7,54,81,,411,159.0
"Feduccia, Hunter",12,4,0,0,0,2,,4,2.0
"Pages, Andy",403,100,23,1,13,29,,164,49.0
"Rojas, Miguel",307,87,21,0,6,23,,126,42.0
"Kiermaier, Kevin",259,51,9,3,5,12,,81,19.0
"Freeman, Freddie",542,153,35,2,22,78,,258,96.0
"Hernández, Teoscar",589,160,32,2,33,53,,295,98.0
"Edman, Tommy",139,33,5,1,6,11,,58,17.0
"Muncy, Max",237,55,17,0,15,45,,117,41.0
"Smith, Will",476,118,24,2,20,51,,206,66.0
"Betts, Mookie",450,130,24,5,19,61,,221,83.0
"Barnes, Austin",140,37,3,0,1,14,,43,14.0
"Outman, James",136,20,4,0,4,16,,36,9.0
"Taylor, Chris",213,43,7,1,4,28,,64,19.0
"Wood, James",295,78,13,4,9,39,,126,44.0
"Ruiz, Keibert",459,105,21,0,13,16,,165,42.0
"Chaparro, Andrés",121,26,12,0,4,7,,50,13.0
"García Jr., Luis",500,141,25,1,18,27,,222,71.0
"Abrams, CJ",541,133,29,6,20,40,,234,70.0
"Call, Alex",99,34,9,0,3,12,,52,22.0
"Baker, Darren",14,7,2,0,0,0,,9,4.0
"Vargas, Ildemaro",272,67,16,0,1,19,,86,25.0
"Yepez, Juan",226,64,15,0,6,18,,97,33.0
"Garrett, Stone",5,3,1,0,1,1,,7,5.0
"Crews, Dylan",119,26,5,1,3,11,,42,12.0
"Meneses, Joey",281,65,11,0,3,21,,85,24.0
"Lipscomb, Trey",190,38,3,0,1,16,,44,12.0
"Nuñez, Nasim",61,15,1,0,0,12,,16,6.0
"Young, Jacob",468,120,24,1,3,30,,155,47.0
"Adams, Riley",116,26,5,1,2,10,,39,11.0
"Tena, José",161,43,5,0,3,7,,57,17.0
"Millas, Drew",57,14,1,0,1,5,,18,6.0
"Gallo, Joey",223,36,9,0,10,32,,75,20.0
"Torrens, Luis",118,27,8,0,3,9,,44,12.0
"Azocar, José",73,16,2,0,0,5,,18,5.0
"Alonso, Pete",608,146,31,0,34,70,,279,89.0
"Stewart, DJ",158,28,4,0,5,31,,47,15.0
"Bader, Harrison",402,95,19,0,12,21,,150,41.0
"Lindor, Francisco",618,169,39,1,33,56,,309,103.0
"Vientos, Mark",413,110,22,0,27,33,,213,68.0
"Winker, Jesse",430,109,23,0,14,63,,174,61.0
"McNeil, Jeff",424,101,26,0,12,35,,163,48.0
"Acuña, Luisangel",39,12,2,1,3,1,,25,8.0
"Alvarez, Francisco",308,73,14,2,11,30,,124,38.0
"Taylor, Tyrone",319,79,22,3,7,19,,128,37.0
"Nimmo, Brandon",571,128,25,3,23,77,,228,72.0
"Marte, Starling",335,90,13,3,7,27,,130,42.0
"Martinez, J.D.",434,102,24,1,16,49,,176,55.0
"Iglesias, Jose",270,91,16,1,4,12,,121,44.0
"Baty, Brett",153,35,3,0,4,16,,50,15.0
"Langeliers, Shea",482,108,18,2,29,41,,217,62.0
"Ruiz, Esteury",55,11,2,1,2,4,,21,5.0
"Nevin, Tyler",245,50,10,0,7,25,,81,22.0
"Allen, Nick",97,17,4,0,1,5,,24,5.0
"Gelof, Zack",497,105,20,2,17,38,,180,48.0
"Schuemann, Max",396,87,14,0,7,47,,122,37.0
"Andujar, Miguel",302,86,14,1,4,13,,114,36.0
"McCann, Kyle",140,33,4,0,5,16,,52,16.0
"Rooker, Brent",546,160,26,2,39,59,,307,111.0
"Harris, Brett",103,15,3,0,3,17,,27,7.0
"Soderstrom, Tyler",189,44,10,0,9,20,,81,25.0
"Alexander, CJ",8,1,0,0,0,0,,1,0.0
"Noda, Ryan",95,13,4,0,1,14,,20,5.0
"Alvarez, Armando",37,9,1,0,0,2,,10,3.0
"Gray, Tristan",28,3,1,0,0,3,,4,1.0
"Hernaiz, Darell",120,23,3,0,1,11,,29,8.0
"Brown, Seth",372,86,11,1,14,25,,141,39.0
"Cameron, Daz",170,34,5,1,5,13,,56,14.0
"Butler, Lawrence",412,108,24,2,22,35,,202,65.0
"Wilson, Jacob",92,23,2,2,0,8,,29,9.0
"Bleday, JJ",572,139,43,4,20,67,,250,81.0
"Gonzales, Nick",359,97,19,3,7,18,,143,44.0
"Williams, Alika",87,18,4,2,0,3,,26,6.0
"Grandal, Yasmani",215,49,10,0,9,24,,86,26.0
"Cruz, Oneil",541,140,34,3,21,51,,243,78.0
"Suwinski, Jack",247,45,8,0,9,27,,80,21.0
"De La Cruz, Bryan",584,136,25,0,21,29,,224,60.0
"Yorke, Nick",37,8,0,0,2,4,,14,4.0
"Delay, Jason",15,3,3,0,0,3,,6,2.0
"Triolo, Jared",394,85,10,1,9,42,,124,36.0
"Palacios, Joshua",67,15,2,0,2,10,,23,7.0
"Cook, Billy",49,11,2,0,3,0,,22,5.0
"Bae, Ji Hwan",74,14,2,0,0,6,,16,4.0
"Kiner-Falefa, Isiah",465,125,18,4,8,16,,175,51.0
"Hayes, Ke'Bryan",365,85,9,0,4,23,,106,30.0
"Reynolds, Bryan",622,171,29,3,24,57,,278,93.0
"Bart, Joey",253,67,11,0,13,22,,117,38.0
"Joe, Connor",364,83,22,1,9,44,,134,42.0
"McCutchen, Andrew",448,104,18,1,20,58,,184,59.0
"Peguero, Liover",10,2,1,0,0,0,,3,1.0
"Davis, Henry",104,15,4,0,1,13,,22,5.0
"Machado, Manny",593,163,30,0,29,45,,280,91.0
"Cronenworth, Jake",577,139,29,3,17,61,,225,71.0
"Higashioka, Kyle",246,54,10,1,17,15,,117,31.0
"Lockridge, Brandon",12,2,0,0,1,0,,5,1.0
"Merrill, Jackson",554,162,31,6,24,29,,277,91.0
"Díaz, Elias",325,86,20,0,6,20,,124,38.0
"Rosario, Eguy",53,13,6,0,3,2,,28,8.0
"Bogaerts, Xander",428,113,15,1,11,28,,163,50.0
"McCoy, Mason",49,10,2,0,0,5,,12,3.0
"Tatis Jr., Fernando",398,110,21,1,21,32,,196,65.0
"Wade, Tyler",138,30,3,0,0,11,,33,9.0
"Solano, Donovan",283,81,13,0,8,22,,118,40.0
"Sullivan, Brett",16,3,0,0,1,1,,6,1.0
