Player,AB,H,2B,3B,HR,BB,,TB,Runs
"Riley, Austin",425,109,26,2,19,37,,196,62.0
"Laureano, Ramón",286,74,16,1,11,15,,125,37.0
"Soler, Jorge",493,119,34,1,21,68,,218,73.0
"Sosa, Lenyn",351,89,13,0,8,12,,126,35.0
"Benintendi, Andrew",477,109,20,0,20,41,,189,55.0
"Amaya, Jacob",68,12,1,0,0,4,,13,3.0
"Lee, Korey",377,79,14,1,12,17,,131,32.0
"Julks, Corey",173,37,7,0,3,15,,53,15.0
"Shewmake, Braden",64,8,2,0,1,1,,13,2.0
"Ramos, Bryan",99,20,4,0,3,7,,33,8.0
"Robert Jr., Luis",393,88,19,0,14,28,,149,41.0
"Lopez, Nicky",398,96,12,3,1,37,,117,36.0
"Vargas, Miguel",206,31,7,0,5,25,,53,13.0
"Moncada, Yoán",40,11,3,1,0,5,,16,6.0
"Vaughn, Andrew",570,140,30,1,19,38,,229,67.0
"Fletcher, Dominic",223,46,8,0,1,11,,57,14.0
"Sheets, Gavin",451,105,24,1,10,43,,161,48.0
"Baldwin, Brooks",114,24,6,0,2,6,,36,9.0
"Colás, Oscar",33,9,0,0,0,4,,9,3.0
"Robinson, Chuckie",70,9,0,0,0,5,,9,2.0
"Sanoja, Javier",35,8,2,0,0,1,,10,2.0
"Pereda, Jhonny",39,9,0,0,0,0,,9,2.0
"Pauley, Graham",32,4,0,0,2,0,,10,1.0
"Edwards, Xavier",265,87,12,5,1,33,,112,45.0
"Stowers, Kyle",192,40,11,2,3,13,,64,17.0
"Lopez, Otto",403,109,23,1,6,25,,152,48.0
"Burger, Jake",535,134,23,1,29,31,,246,72.0
"Bruján, Vidal",248,55,14,2,2,25,,79,23.0
"Bride, Jonah",232,64,10,0,11,30,,107,38.0
"Myers, Dane",95,25,6,1,3,8,,42,13.0
"Hill, Derek",162,39,4,2,7,5,,68,18.0
"Norby, Connor",178,42,9,0,9,15,,78,23.0
"Conine, Griffin",82,22,4,1,3,6,,37,12.0
"Hensley, David",52,11,1,0,1,6,,15,4.0
"Sánchez, Jesús",489,123,25,1,18,41,,204,63.0
"Fortes, Nick",308,70,16,0,4,11,,98,25.0
"Chisholm Jr., Jazz",562,144,21,4,24,53,,245,78.0
"Verdugo, Alex",559,130,28,1,13,49,,199,59.0
"Torres, Gleyber",587,151,26,0,15,65,,222,74.0
"Grisham, Trent",179,34,8,0,9,22,,69,19.0
"Judge, Aaron",559,180,36,1,58,133,,392,177.0
"Peraza, Oswald",10,2,0,0,1,1,,5,1.0
"Rice, Ben",152,26,6,0,7,20,,53,14.0
"LeMahieu, DJ",201,41,5,0,2,19,,52,14.0
"Soto, Juan",576,166,31,4,41,129,,328,137.0
"Stanton, Giancarlo",417,97,20,0,27,38,,198,59.0
"Narváez, Carlos",13,3,0,0,0,2,,3,1.0
"Domínguez, Jasson",56,10,1,0,2,11,,17,5.0
"Rizzo, Anthony",337,77,12,0,8,27,,113,32.0
"Ellis, Duke",5,1,0,0,0,0,,1,0.0
"Berti, Jon",66,18,0,0,1,6,,21,7.0
"Volpe, Anthony",637,155,27,7,12,42,,232,67.0
"Cabrera, Oswaldo",299,74,11,0,8,21,,109,32.0
"Wells, Austin",354,81,18,1,13,47,,140,45.0
"Trevino, Jose",209,45,5,0,8,20,,74,21.0
"Capra, Vinny",9,1,1,0,0,0,,2,0.0
"Frelick, Sal",475,123,22,4,2,39,,159,50.0
"Monasterio, Andruw",125,26,5,0,1,16,,34,10.0
"Adames, Willy",610,153,33,0,32,74,,282,94.0
"Hoskins, Rhys",449,96,14,0,26,53,,188,56.0
"Dunn, Oliver",95,21,2,2,1,6,,30,8.0
"Turang, Brice",559,142,24,4,7,50,,195,61.0
"Collins, Isaac",17,2,0,0,0,2,,2,0.0
"Bauers, Jake",302,60,9,2,12,39,,109,32.0
"Black, Tyler",49,10,2,0,0,7,,12,4.0
"Perkins, Blake",383,92,13,2,6,42,,127,40.0
"Yelich, Christian",270,85,12,3,11,40,,136,55.0
"Hicklen, Brewer",5,0,0,0,0,0,,0,0.0
"Sánchez, Gary",245,54,7,1,11,27,,96,29.0
"Ortiz, Joey",440,105,25,6,11,56,,175,57.0
"Haase, Eric",66,18,1,0,5,3,,34,10.0
"Chourio, Jackson",528,145,29,4,21,39,,245,80.0
"Contreras, William",595,167,37,2,23,78,,277,101.0
"Mitchell, Garrett",196,50,12,3,8,25,,92,31.0
