Player,Sprint Speed (ft/s),Lg Rank,% Rank,SB,CS
Marcell Ozuna,25.0,511,6,0,0
Jurickson Profar,24.5,525,4,0,0
Matt Olson,25.2,500,8,0,0
Eli White,29.9,7,99,5,1
Ozzie Albies,27.2,287,47,7,1
Stuart Fairchild,28.8,74,87,2,1
Ronald Acuña Jr.,27.9,191,65,4,0
Austin Riley,28.4,119,78,2,1
Luke Williams,28.0,165,70,3,0
Sean Murphy,24.6,524,4,0,0
Nick Allen,27.3,275,50,6,5
Michael Harris II,28.4,113,79,12,3
Jarred Kelenic,26.1,432,21,0,1
Drake Baldwin,25.8,461,15,0,0
