Player,AB,H,2B,3B,HR,BB,,TB,Runs
Griffin Conine,82,22,4,1,3,6,,37,12.0
David Hensley,52,11,1,0,1,6,,15,4.0
Jesús Sánchez,489,123,25,1,18,41,,204,63.0
Nick Fortes,308,70,16,0,4,11,,98,25.0
Jazz Chisholm Jr.,562,144,21,4,24,53,,245,78.0
Alex Verdugo,559,130,28,1,13,49,,199,59.0
Gleyber Torres,587,151,26,0,15,65,,222,74.0
Trent Grisham,179,34,8,0,9,22,,69,19.0
Aaron Judge,559,180,36,1,58,133,,392,177.0
Oswald Peraza,10,2,0,0,1,1,,5,1.0
Ben Rice,152,26,6,0,7,20,,53,14.0
DJ LeMahieu,201,41,5,0,2,19,,52,14.0
Juan Soto,576,166,31,4,41,129,,328,137.0
Giancarlo Stanton,417,97,20,0,27,38,,198,59.0
Carlos Narváez,13,3,0,0,0,2,,3,1.0
Jasson Domínguez,56,10,1,0,2,11,,17,5.0
Anthony Rizzo,337,77,12,0,8,27,,113,32.0
Duke Ellis,5,1,0,0,0,0,,1,0.0
Jon Berti,66,18,0,0,1,6,,21,7.0
Anthony Volpe,637,155,27,7,12,42,,232,67.0
Oswaldo Cabrera,299,74,11,0,8,21,,109,32.0
Austin Wells,354,81,18,1,13,47,,140,45.0
Jose Trevino,209,45,5,0,8,20,,74,21.0
Vinny Capra,9,1,1,0,0,0,,2,0.0
Sal Frelick,475,123,22,4,2,39,,159,50.0
Andruw Monasterio,125,26,5,0,1,16,,34,10.0
Willy Adames,610,153,33,0,32,74,,282,94.0
Rhys Hoskins,449,96,14,0,26,53,,188,56.0
Oliver Dunn,95,21,2,2,1,6,,30,8.0
Brice Turang,559,142,24,4,7,50,,195,61.0
Isaac Collins,17,2,0,0,0,2,,2,0.0
Jake Bauers,302,60,9,2,12,39,,109,32.0
Tyler Black,49,10,2,0,0,7,,12,4.0
Blake Perkins,383,92,13,2,6,42,,127,40.0
Christian Yelich,270,85,12,3,11,40,,136,55.0
Brewer Hicklen,5,0,0,0,0,0,,0,0.0
Gary Sánchez,245,54,7,1,11,27,,96,29.0
Joey Ortiz,440,105,25,6,11,56,,175,57.0
Eric Haase,66,18,1,0,5,3,,34,10.0
Jackson Chourio,528,145,29,4,21,39,,245,80.0
William Contreras,595,167,37,2,23,78,,277,101.0
Garrett Mitchell,196,50,12,3,8,25,,92,31.0
