Player,AB,H,2B,3B,HR,BB,,TB,Runs
TJ Friedl,297,67,5,1,13,26,,113,33.0
Austin Hedges,132,20,3,0,2,6,,29,5.0
José Ramírez,620,173,39,2,39,54,,333,112.0
Josh Naylor,563,137,27,0,31,58,,257,81.0
Daniel Schneemann,193,42,10,2,5,25,,71,22.0
Gabriel Arias,153,34,9,1,3,6,,54,14.0
Bo Naylor,354,71,10,2,13,29,,124,32.0
Will Brennan,330,87,13,2,8,19,,128,39.0
Myles Straw,4,1,0,0,0,0,,1,0.0
Lane Thomas,472,112,26,3,15,44,,189,57.0
Jhonkensy Noel,179,39,7,1,13,13,,87,24.0
Steven Kwan,480,140,16,3,14,53,,204,74.0
David Fry,335,88,18,1,14,42,,150,52.0
Kyle Manzardo,145,34,12,0,5,9,,61,17.0
Brayan Rocchio,383,79,18,0,8,44,,121,35.0
Andrés Giménez,583,147,22,1,9,26,,198,56.0
Angel Martínez,151,35,7,0,3,15,,51,15.0
Johnathan Rodríguez,31,4,1,0,0,9,,5,2.0
Tyler Freeman,330,69,14,1,7,28,,106,29.0
Aaron Schunk,94,22,3,0,2,4,,31,8.0
Brenton Doyle,542,141,24,4,23,46,,242,77.0
Michael Toglia,399,87,14,3,25,54,,182,57.0
Ryan McMahon,567,137,28,0,20,69,,225,73.0
Brendan Rodgers,501,134,29,1,13,31,,204,63.0
Jacob Stallings,243,64,17,1,9,27,,110,37.0
Greg Jones,5,1,0,0,1,1,,4,1.0
Nolan Jones,256,58,13,1,3,36,,82,26.0
Ezequiel Tovar,655,176,45,4,26,23,,307,90.0
Sam Hilliard,138,33,5,1,10,14,,70,22.0
Hunter Goodman,211,40,9,0,13,8,,88,19.0
Kris Bryant,133,29,5,0,2,13,,40,12.0
Jordan Beck,170,32,6,0,3,12,,47,11.0
Sean Bouchard,91,17,7,0,1,12,,27,8.0
Drew Romo,51,9,3,0,0,2,,12,2.0
Adael Amador,35,6,1,0,0,1,,7,1.0
Jake Cave,323,81,16,5,7,18,,128,37.0
Andy Ibáñez,224,54,9,1,5,15,,80,23.0
Riley Greene,512,134,27,6,24,64,,245,84.0
Ryan Kreidler,59,7,0,0,1,6,,10,2.0
