Player,Zone %,Zone Swing %,Zone Contact %,Chase %,Chase Contact %,Edge %,1st Pitch Swing %,Swing %,Whiff %,Meatball %,Meatball Swing %,BBE,GB %,FB %,LD %,PU %,Pull %,Straight %,Oppo %,Weak %,Topped %,Under %,Flare/Burner %,Solid %,Launch Angle Sweet-Spot %,Pitches,Batted Balls,Barrels,Barrel %,Hard Hit %,Exit Velocity,Launch Angle,XBA,XSLG,XWOBA,XWOBACON,,Hit_Score,Walk_Score,Bats_Score,Bases_Score
"Merrifield, Whit",48.5,66.2,87.8,25.8,63.8,41.6,26.6,45.4,18.7,6.8,75.6,245,45.7,24.5,23.7,6.1,35.9,31.0,33.1,8.2,29.0,29.4,27.3,3.3,34.3,1330,245,6,2.4,21.6,84.1,12.9,0.242,0.317,0.295,0.296,,-4.502,-1.401,-0.225,-6.726
"Harris II, Michael",51.5,69.7,81.5,39.6,62.0,44.4,36.9,55.1,25.1,7.9,73.7,349,49.0,19.5,24.9,6.6,40.7,36.7,22.6,6.0,35.0,18.9,21.8,8.3,33.5,1685,349,35,10.0,47.0,90.5,7.5,0.284,0.461,0.344,0.41,,3.567,0.416,-0.222,2.84
"Murphy, Sean",51.5,62.4,78.9,27.9,54.2,43.8,32.3,45.6,28.4,7.2,76.6,167,53.3,25.7,14.4,6.6,50.9,30.5,18.6,6.0,37.1,22.8,20.4,4.2,25.7,1065,167,16,9.6,36.5,88.0,10.5,0.214,0.399,0.308,0.364,,-2.037,-0.615,-0.228,-0.791
"Arcia, Orlando",49.9,70.8,82.3,27.6,50.3,41.6,32.9,49.1,26.6,7.3,74.1,431,49.9,21.3,20.2,8.6,46.2,33.2,20.6,3.0,40.4,25.8,18.6,6.5,29.9,2332,431,23,5.3,37.8,88.2,8.6,0.206,0.323,0.261,0.297,,-1.43,-0.506,-0.218,-2.493
"Riley, Austin",50.1,72.1,81.3,28.0,49.8,42.9,33.3,50.1,27.5,7.1,86.8,309,36.2,31.1,26.9,5.8,35.9,37.5,26.5,1.3,26.9,27.2,20.7,8.4,37.2,1822,309,46,14.9,53.4,93.3,15.9,0.267,0.505,0.361,0.455,,3.877,-0.398,-0.222,5.555
"Tromp, Chadwick",51.1,66.7,74.2,40.4,44.4,50.0,31.5,53.8,36.7,4.9,66.7,36,44.4,25.0,30.6,0.0,36.1,36.1,27.8,5.6,30.6,19.4,33.3,8.3,38.9,182,36,1,2.8,36.1,88.1,6.0,0.244,0.327,0.252,0.36,,1.612,1.373,-0.233,-0.634
"Alvarez Jr., Nacho",52.1,61.3,76.3,33.3,57.9,39.5,25.0,47.9,28.1,5.0,83.3,20,50.0,10.0,25.0,15.0,25.0,35.0,40.0,5.0,35.0,25.0,30.0,5.0,30.0,119,20,0,0.0,30.0,83.8,9.8,0.172,0.223,0.206,0.258,,-4.159,-0.29,-0.234,-5.597
"d'Arnaud, Travis",49.6,74.5,73.6,27.3,50.0,43.8,41.3,50.7,32.8,9.0,81.1,222,46.8,27.5,20.7,5.0,36.9,32.9,30.2,3.2,35.6,20.7,22.1,7.2,32.9,1353,222,23,10.4,41.0,89.9,11.6,0.236,0.434,0.322,0.402,,0.423,-0.212,-0.226,1.469
"Olson, Matt",48.1,72.3,78.0,28.7,63.4,43.1,34.0,49.7,26.3,6.9,82.3,435,35.9,30.3,26.0,7.8,38.4,34.7,26.9,3.7,25.3,27.6,23.0,7.4,35.4,2947,435,54,12.4,47.4,91.5,16.1,0.247,0.448,0.341,0.414,,1.543,-0.62,-0.217,2.97
"Laureano, Ramón",51.0,73.3,77.3,30.4,45.5,40.3,36.2,52.3,31.8,7.7,84.6,191,38.7,30.4,27.7,3.1,43.5,31.4,25.1,4.7,27.7,23.0,25.1,6.8,38.7,1180,191,24,12.6,40.8,89.2,13.3,0.235,0.43,0.311,0.423,,0.406,0.137,-0.227,1.858
