Player,AB,H,2B,3B,HR,BB,,TB,Runs,TeamID
"Lewis, Royce",292,68,16,0,16,28,,132,40.0,142
"Helman, Michael",10,3,2,0,0,0,,5,2.0,142
"Larnach, Trevor",355,92,17,0,15,40,,154,51.0,142
"Castro, Willi",558,138,31,5,12,51,,215,67.0,142
"Kepler, Max",368,93,21,1,8,22,,140,41.0,142
"Lee, Brooks",172,38,6,1,3,11,,55,15.0,142
"Julien, Edouard",266,53,9,0,8,33,,86,25.0,142
"Jeffers, Ryan",412,93,22,0,21,32,,178,50.0,142
"Santana, Carlos",521,124,26,0,23,65,,219,71.0,142
"Camargo, Jair",6,0,0,0,0,1,,0,0.0,142
"Miranda, Jose",401,114,28,4,9,18,,177,56.0,142
"Buxton, Byron",355,99,27,3,18,20,,186,59.0,142
"Vázquez, Christian",294,65,10,0,7,11,,96,24.0,142
"Kirilloff, Alex",159,32,8,3,5,15,,61,16.0,142
"Martin, Austin",233,59,18,1,1,20,,82,26.0,142
"Keirsey Jr., DaShawn",13,2,0,0,1,0,,5,1.0,142
"Farmer, Kyle",215,46,13,1,5,19,,76,21.0,142
"Castellanos, Nick",606,154,30,4,23,41,,261,79.0,143
"Harper, Bryce",550,157,42,0,30,76,,289,108.0,143
"Schwarber, Kyle",573,142,22,0,38,106,,278,102.0,143
"Hays, Austin",235,60,18,0,5,9,,93,26.0,143
"Clemens, Kody",114,25,9,1,5,5,,51,13.0,143
"Sosa, Edmundo",249,64,12,4,7,13,,105,31.0,143
"Stevenson, Cal",24,6,3,0,0,3,,9,3.0,143
"Bohm, Alec",554,155,44,2,15,40,,248,81.0,143
"Wilson, Weston",88,25,7,1,3,8,,43,15.0,143
"Stott, Bryson",506,124,19,2,11,53,,180,57.0,143
"Marchán, Rafael",51,15,4,0,3,3,,28,9.0,143
"Realmuto, J.T.",380,101,18,1,14,27,,163,51.0,143
"Stubbs, Garrett",164,34,4,1,1,17,,43,12.0,143
"Kennedy, Buddy",21,4,1,0,1,4,,8,3.0,143
"Marsh, Brandon",418,104,17,3,16,50,,175,58.0,143
"Rojas, Johan",338,82,12,3,3,13,,109,30.0,143
"Turner, Trea",505,149,25,0,21,27,,237,78.0,143
"Merrifield, Whit",293,65,9,3,4,35,,92,28.0,144
"Harris II, Michael",440,116,14,3,16,23,,184,55.0,144
"Murphy, Sean",233,45,5,1,10,27,,82,23.0,144
"Arcia, Orlando",551,120,24,0,17,41,,195,53.0,144
"Riley, Austin",425,109,26,2,19,37,,196,62.0,144
"Tromp, Chadwick",52,13,6,0,0,1,,19,5.0,144
"Alvarez Jr., Nacho",30,3,0,0,0,0,,3,0.0,144
"d'Arnaud, Travis",307,73,16,0,15,24,,134,39.0,144
"Olson, Matt",600,148,37,1,29,71,,274,89.0,144
"Laureano, Ramón",286,74,16,1,11,15,,125,37.0,144
"Duvall, Adam",303,55,10,0,11,21,,98,23.0,144
"Acuña Jr., Ronald",192,48,8,1,4,27,,70,24.0,144
"Williams, Luke",46,9,3,0,0,4,,12,3.0,144
"Albies, Ozzie",399,100,29,1,10,27,,161,48.0,144
"Biggio, Cavan",188,37,5,0,5,24,,57,16.0,144
"Kelenic, Jarred",412,95,18,2,15,32,,162,46.0,144
"Ozuna, Marcell",606,183,31,0,39,74,,331,125.0,144
"White, Eli",39,11,1,1,1,1,,17,5.0,144
"Urshela, Gio",432,108,19,1,9,23,,156,45.0,144
"Soler, Jorge",493,119,34,1,21,68,,218,73.0,144
"Robinson, Chuckie",70,9,0,0,0,5,,9,2.0,145
"Amaya, Jacob",68,12,1,0,0,4,,13,3.0,145
"Sheets, Gavin",451,105,24,1,10,43,,161,48.0,145
"Julks, Corey",173,37,7,0,3,15,,53,15.0,145
"Sosa, Lenyn",351,89,13,0,8,12,,126,35.0,145
"Shewmake, Braden",64,8,2,0,1,1,,13,2.0,145
"Lopez, Nicky",398,96,12,3,1,37,,117,36.0,145
"Ramos, Bryan",99,20,4,0,3,7,,33,8.0,145
"Vargas, Miguel",206,31,7,0,5,25,,53,13.0,145
"Moncada, Yoán",40,11,3,1,0,5,,16,6.0,145
"Robert Jr., Luis",393,88,19,0,14,28,,149,41.0,145
"Fletcher, Dominic",223,46,8,0,1,11,,57,14.0,145
"Baldwin, Brooks",114,24,6,0,2,6,,36,9.0,145
"Lee, Korey",377,79,14,1,12,17,,131,32.0,145
"Benintendi, Andrew",477,109,20,0,20,41,,189,55.0,145
"Vaughn, Andrew",570,140,30,1,19,38,,229,67.0,145
"Colás, Oscar",33,9,0,0,0,4,,9,3.0,145
"Bruján, Vidal",248,55,14,2,2,25,,79,23.0,146
"Myers, Dane",95,25,6,1,3,8,,42,13.0,146
"Lopez, Otto",403,109,23,1,6,25,,152,48.0,146
"Bride, Jonah",232,64,10,0,11,30,,107,38.0,146
"Edwards, Xavier",265,87,12,5,1,33,,112,45.0,146
"Norby, Connor",178,42,9,0,9,15,,78,23.0,146
"Fortes, Nick",308,70,16,0,4,11,,98,25.0,146
"Hill, Derek",162,39,4,2,7,5,,68,18.0,146
"Stowers, Kyle",192,40,11,2,3,13,,64,17.0,146
"Pauley, Graham",32,4,0,0,2,0,,10,1.0,146
"Sanoja, Javier",35,8,2,0,0,1,,10,2.0,146
"Sánchez, Jesús",489,123,25,1,18,41,,204,63.0,146
"Pereda, Jhonny",39,9,0,0,0,0,,9,2.0,146
"Burger, Jake",535,134,23,1,29,31,,246,72.0,146
"Conine, Griffin",82,22,4,1,3,6,,37,12.0,146
"Hensley, David",52,11,1,0,1,6,,15,4.0,146
"Ellis, Duke",5,1,0,0,0,0,,1,0.0,147
"Soto, Juan",576,166,31,4,41,129,,328,137.0,147
"Judge, Aaron",559,180,36,1,58,133,,392,177.0,147
"Stanton, Giancarlo",417,97,20,0,27,38,,198,59.0,147
"Rice, Ben",152,26,6,0,7,20,,53,14.0,147
"Verdugo, Alex",559,130,28,1,13,49,,199,59.0,147
"Berti, Jon",66,18,0,0,1,6,,21,7.0,147
"Torres, Gleyber",587,151,26,0,15,65,,222,74.0,147
"Wells, Austin",354,81,18,1,13,47,,140,45.0,147
"Grisham, Trent",179,34,8,0,9,22,,69,19.0,147
"Volpe, Anthony",637,155,27,7,12,42,,232,67.0,147
"Domínguez, Jasson",56,10,1,0,2,11,,17,5.0,147
"Narváez, Carlos",13,3,0,0,0,2,,3,1.0,147
"Chisholm Jr., Jazz",562,144,21,4,24,53,,245,78.0,147
"Peraza, Oswald",10,2,0,0,1,1,,5,1.0,147
"Rizzo, Anthony",337,77,12,0,8,27,,113,32.0,147
"Trevino, Jose",209,45,5,0,8,20,,74,21.0,147
"Cabrera, Oswaldo",299,74,11,0,8,21,,109,32.0,147
"LeMahieu, DJ",201,41,5,0,2,19,,52,14.0,147
"Perkins, Blake",383,92,13,2,6,42,,127,40.0,158
"Hoskins, Rhys",449,96,14,0,26,53,,188,56.0,158
"Chourio, Jackson",528,145,29,4,21,39,,245,80.0,158
"Turang, Brice",559,142,24,4,7,50,,195,61.0,158
"Contreras, William",595,167,37,2,23,78,,277,101.0,158
"Ortiz, Joey",440,105,25,6,11,56,,175,57.0,158
"Bauers, Jake",302,60,9,2,12,39,,109,32.0,158
"Sánchez, Gary",245,54,7,1,11,27,,96,29.0,158
"Collins, Isaac",17,2,0,0,0,2,,2,0.0,158
"Mitchell, Garrett",196,50,12,3,8,25,,92,31.0,158
"Capra, Vinny",9,1,1,0,0,0,,2,0.0,158
"Dunn, Oliver",95,21,2,2,1,6,,30,8.0,158
"Hicklen, Brewer",5,0,0,0,0,0,,0,0.0,158
"Monasterio, Andruw",125,26,5,0,1,16,,34,10.0,158
"Black, Tyler",49,10,2,0,0,7,,12,4.0,158
"Adames, Willy",610,153,33,0,32,74,,282,94.0,158
"Haase, Eric",66,18,1,0,5,3,,34,10.0,158
"Yelich, Christian",270,85,12,3,11,40,,136,55.0,158
"Frelick, Sal",475,123,22,4,2,39,,159,50.0,158
