Player,AB,H,2B,3B,HR,BB,,TB,Runs,TeamID
"Steer, Spencer",574,129,34,4,20,72,,231,72.0,113
"Dunn, Blake",26,4,1,0,1,2,,8,2.0,113
"Benson, Will",343,64,19,2,14,40,,129,35.0,113
"Martini, Nick",146,31,4,2,5,9,,54,14.0,113
"France, Ty",479,112,24,0,13,38,,175,51.0,113
"India, Jonathan",533,132,28,2,15,80,,209,72.0,113
"Espinal, Santiago",357,88,12,0,9,24,,127,37.0,113
"Maile, Luke",135,24,4,0,2,13,,34,8.0,113
"Rosario, Amed",332,93,18,3,3,9,,126,38.0,113
"Wiemer, Joey",26,4,0,0,0,2,,4,1.0,113
"Encarnacion-Strand, Christian",116,22,6,0,2,4,,34,7.0,113
"Fairchild, Stuart",209,45,8,0,8,17,,77,21.0,113
"Martínez, Angel",151,35,7,0,3,15,,51,15.0,114
"Freeman, Tyler",330,69,14,1,7,28,,106,29.0,114
"Hedges, Austin",132,20,3,0,2,6,,29,5.0,114
"Fry, David",335,88,18,1,14,42,,150,52.0,114
"Rocchio, Brayan",383,79,18,0,8,44,,121,35.0,114
"Noel, Jhonkensy",179,39,7,1,13,13,,87,24.0,114
"Manzardo, Kyle",145,34,12,0,5,9,,61,17.0,114
"Arias, Gabriel",153,34,9,1,3,6,,54,14.0,114
"Ramírez, José",620,173,39,2,39,54,,333,112.0,114
"Naylor, Josh",563,137,27,0,31,58,,257,81.0,114
"Thomas, Lane",472,112,26,3,15,44,,189,57.0,114
"Kwan, Steven",480,140,16,3,14,53,,204,74.0,114
"Schneemann, Daniel",193,42,10,2,5,25,,71,22.0,114
"Brennan, Will",330,87,13,2,8,19,,128,39.0,114
"Rodríguez, Johnathan",31,4,1,0,0,9,,5,2.0,114
"Straw, Myles",4,1,0,0,0,0,,1,0.0,114
"Giménez, Andrés",583,147,22,1,9,26,,198,56.0,114
"Naylor, Bo",354,71,10,2,13,29,,124,32.0,114
"Bouchard, Sean",91,17,7,0,1,12,,27,8.0,115
"Schunk, Aaron",94,22,3,0,2,4,,31,8.0,115
"Doyle, Brenton",542,141,24,4,23,46,,242,77.0,115
