Player,Sprint Speed (ft/s),Lg Rank,% Rank,SB,CS,Team,Season
Rafael Devers,25.6,540,14,1,1,BOSTON,2022
Connor Wong,28.9,66,90,1,1,BOSTON,2022
Triston Casas,24.9,583,7,0,0,BOSTON,2022
Jarren Duran,29.2,42,94,16,5,BOSTON,2022
Nico Hoerner,29.1,50,92,16,3,CHI-CUBS,2022
Ian Happ,27.9,219,65,4,1,CHI-CUBS,2022
Seiya Suzuki,28.3,145,77,2,2,CHI-CUBS,2022
Jake Fraley,27.9,221,65,4,2,CINCINNATI,2022
Tyler Stephenson,26.6,429,32,0,1,CINCINNATI,2022
Spencer Steer,27.4,300,52,6,1,CINCINNATI,2022
TJ Friedl,28.1,183,71,10,3,CINCINNATI,2022
Austin Hedges,24.5,601,4,1,0,CLEVELAND,2022
José Ramírez,28.5,122,81,29,5,CLEVELAND,2022
Nolan Jones,28.1,177,72,6,3,CLEVELAND,2022
Gabriel Arias,28.0,193,69,3,3,CLEVELAND,2022
Steven Kwan,28.4,127,80,11,2,CLEVELAND,2022
Will Brennan,27.5,293,53,0,1,CLEVELAND,2022
Kris Bryant,27.3,323,49,0,0,COLORADO,2022
Ryan McMahon,25.8,520,17,2,1,COLORADO,2022
Sean Bouchard,28.1,186,71,1,1,COLORADO,2022
Sam Hilliard,28.7,92,86,2,1,COLORADO,2022
Michael Toglia,28.3,147,77,3,0,COLORADO,2022
Alan Trejo,26.8,399,37,0,0,COLORADO,2022
Ezequiel Tovar,27.4,309,51,2,2,COLORADO,2022
Javier Báez,27.9,207,67,2,1,DETROIT,2022
Akil Baddoo,28.9,70,89,1,0,DETROIT,2022
Ryan Kreidler,28.2,156,75,2,0,DETROIT,2022
Spencer Torkelson,27.8,231,63,1,1,DETROIT,2022
Kerry Carpenter,27.3,319,49,1,1,DETROIT,2022
Riley Greene,27.7,253,60,1,1,DETROIT,2022
Jose Altuve,28.1,190,70,6,6,HOUSTON,2022
Mauricio Dubón,28.2,163,74,2,0,HOUSTON,2022
Jeremy Peña,29.4,28,96,15,2,HOUSTON,2022
Yordan Alvarez,26.6,428,32,1,0,HOUSTON,2022
Jake Meyers,28.9,69,89,14,5,HOUSTON,2022
Chas McCormick,28.6,100,84,1,3,HOUSTON,2022
Salvador Perez,25.3,563,10,0,0,KANSAS-CITY,2022
Kyle Isbel,28.0,197,69,2,1,KANSAS-CITY,2022
MJ Melendez,27.8,244,61,0,0,KANSAS-CITY,2022
Drew Waters,28.6,106,83,5,3,KANSAS-CITY,2022
