Name,Season,TB,xTB,BB,xBB,AB,xAB,H,xH,SB,xSB,CS,xCS,MB,xMB
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Shohei Ohtani,2020.0,56.0,63.60697978652841,22.0,20.66,153.0,156.4,29.0,34.30513614221236,7.0,7.0,1.0,1.0,17.0,21.0
Jake Cronenworth,2020.0,82.0,81.07993727049053,18.0,19.14,172.0,175.34,49.0,44.4039440112508,3.0,3.0,1.0,1.0,29.0,27.0
Tim Anderson,2020.0,110.0,88.67463694782018,10.0,9.39,208.0,202.06,67.0,44.25814825496052,5.0,5.0,2.0,2.0,39.0,22.0
Scott Kingery,2020.0,32.0,54.06917755515761,9.0,8.24,113.0,107.71,18.0,23.684489139954522,0.0,0.0,0.0,0.0,7.0,15.0
Cedric Mullins,2020.0,57.0,45.57758735051807,8.0,8.9,140.0,138.42,38.0,35.45052724459019,7.0,7.0,2.0,2.0,18.0,14.0
Cody Bellinger,2020.0,97.0,101.48469959790599,30.0,26.55,213.0,216.09,51.0,62.23334292765731,6.0,6.0,1.0,1.0,33.0,38.0
Delino DeShields,2020.0,34.0,34.09783000042448,9.0,9.27,107.0,103.63,27.0,23.153406636940318,3.0,3.0,2.0,2.0,10.0,10.0
Phil Gosselin,2020.0,37.0,37.66909981595725,10.0,10.86,92.0,93.8,23.0,17.963258787438235,0.0,0.0,0.0,0.0,12.0,10.0
Nick Solak,2020.0,72.0,75.5809760149834,18.0,18.83,209.0,212.12,56.0,50.19245373690614,7.0,7.0,1.0,1.0,25.0,24.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Lewis Brinson,2020.0,39.0,37.66879968587004,6.0,5.89,106.0,103.5,24.0,17.459998699824837,4.0,4.0,0.0,0.0,11.0,9.0
Whit Merrifield,2020.0,109.0,100.71472034470901,12.0,13.6,248.0,246.92,70.0,62.92025435217012,12.0,12.0,3.0,3.0,35.0,30.0
Dansby Swanson,2020.0,110.0,105.28346938796685,22.0,23.22,237.0,237.41,65.0,57.869011785010755,5.0,5.0,0.0,0.0,38.0,34.0
,,,,,,,,,,,,,,,
Manuel Margot,2020.0,51.0,49.93338286421664,13.0,12.27,145.0,141.18,39.0,35.3134836735546,12.0,12.0,4.0,4.0,18.0,16.0
Tim Lopes,2020.0,52.0,33.44549573912278,6.0,6.89,143.0,141.17,34.0,31.62275815583385,5.0,5.0,0.0,0.0,15.0,10.0
Taylor Ward,2020.0,36.0,7.612901746681629,8.0,7.86,94.0,96.05,26.0,20.260358303611348,2.0,2.0,0.0,0.0,12.0,2.0
,,,,,,,,,,,,,,,
Starling Marte,2020.0,98.0,94.4801382546828,12.0,13.09,228.0,223.67,64.0,53.54086054697231,10.0,10.0,2.0,2.0,32.0,27.0
Jose Altuve,2020.0,66.0,70.18858231711683,17.0,15.32,192.0,178.36,42.0,48.76608655636201,2.0,2.0,3.0,3.0,18.0,22.0
,,,,,,,,,,,,,,,
Chris Taylor,2020.0,88.0,84.51048138216271,26.0,25.33,185.0,189.84,50.0,51.09750791937956,3.0,3.0,2.0,2.0,31.0,30.0
,,,,,,,,,,,,,,,
Cole Tucker,2020.0,30.0,30.899762453388107,5.0,6.58,109.0,103.81,24.0,21.018449707576274,1.0,1.0,0.0,0.0,8.0,8.0
,,,,,,,,,,,,,,,
Mookie Betts,2020.0,123.0,94.7311437204511,24.0,26.3,219.0,220.11,64.0,61.19811330080947,10.0,10.0,2.0,2.0,46.0,35.0
Jean Segura,2020.0,81.0,72.61692024068392,23.0,19.12,192.0,192.52,51.0,48.79623444197223,2.0,2.0,2.0,2.0,27.0,23.0
,,,,,,,,,,,,,,,
Daulton Varsho,2020.0,37.0,19.260657914264357,12.0,10.89,101.0,101.47,19.0,18.41908991732489,3.0,3.0,1.0,1.0,10.0,5.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Willi Castro,2020.0,71.0,61.093704900787415,7.0,6.92,129.0,124.69,45.0,27.672746069436066,0.0,0.0,1.0,1.0,26.0,15.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
J.T. Realmuto,2020.0,85.0,86.47888166523997,16.0,17.5,173.0,172.42,46.0,40.539758116222856,4.0,4.0,1.0,1.0,28.0,27.0
Bryan Reynolds,2020.0,66.0,82.82460321441727,21.0,20.15,185.0,184.35,35.0,46.6230330098728,1.0,1.0,1.0,1.0,18.0,27.0
,,,,,,,,,,,,,,,
Ozzie Albies,2020.0,55.0,61.331720805870944,5.0,6.16,118.0,112.22,32.0,29.912026625132746,3.0,3.0,1.0,1.0,17.0,19.0
Evan White,2020.0,63.0,64.52304852757457,18.0,19.61,182.0,182.46,32.0,32.996775537317795,1.0,1.0,2.0,2.0,15.0,16.0
Brett Gardner,2020.0,51.0,43.78783018408555,26.0,23.11,130.0,137.5,29.0,32.91838692683271,3.0,3.0,3.0,3.0,17.0,15.0
Jorge Alfaro,2020.0,32.0,6.843339966353142,4.0,4.31,93.0,94.91,21.0,14.526999791258433,2.0,2.0,0.0,0.0,9.0,2.0
Wil Myers,2020.0,120.0,97.05649132858503,18.0,19.9,198.0,196.58,57.0,47.47463742780219,2.0,2.0,1.0,1.0,41.0,30.0
,,,,,,,,,,,,,,,
Tommy Pham,2020.0,34.0,27.20019246981809,15.0,15.54,109.0,114.52,23.0,26.768044986451642,6.0,6.0,0.0,0.0,12.0,10.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Joey Wendle,2020.0,73.0,57.539347370780845,10.0,10.38,168.0,163.58,48.0,43.55557601463806,8.0,8.0,2.0,2.0,24.0,19.0
Christian Yelich,2020.0,86.0,81.60253036570609,46.0,44.7,200.0,216.77,41.0,55.079293616468334,4.0,4.0,2.0,2.0,30.0,31.0
Willy Adames,2020.0,89.0,66.57879358024132,20.0,19.4,185.0,180.74,48.0,37.303567798202145,2.0,2.0,1.0,1.0,29.0,19.0
Tyler Wade,2020.0,27.0,25.87836868041164,12.0,10.29,88.0,91.69,15.0,26.762323647663493,4.0,4.0,1.0,1.0,8.0,10.0
,,,,,,,,,,,,,,,
Raimel Tapia,2020.0,74.0,65.18468268775287,14.0,13.5,184.0,185.05,59.0,51.01479166688059,8.0,8.0,2.0,2.0,28.0,22.0
,,,,,,,,,,,,,,,
Isiah Kiner-Falefa,2020.0,78.0,70.11098765500843,14.0,13.41,211.0,206.21,59.0,50.76428804261932,8.0,8.0,5.0,5.0,25.0,20.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Marcus Semien,2020.0,79.0,82.9973441847136,25.0,24.51,211.0,212.22,47.0,53.041450427387055,4.0,4.0,0.0,0.0,25.0,28.0
Michael Chavis,2020.0,55.0,47.945900220139364,8.0,8.67,146.0,144.53,31.0,30.496553794011355,3.0,3.0,0.0,0.0,14.0,13.0
Nick Ahmed,2020.0,80.0,72.15293372376622,18.0,17.2,199.0,191.12,53.0,46.51341989629696,4.0,4.0,0.0,0.0,27.0,23.0
,,,,,,,,,,,,,,,
Niko Goodrum,2020.0,53.0,55.670398164207015,18.0,17.6,158.0,160.8,29.0,33.4436213609809,7.0,7.0,1.0,1.0,15.0,17.0
,,,,,,,,,,,,,,,
George Springer,2020.0,102.0,100.36581039795323,24.0,23.2,189.0,182.93,50.0,50.62619317969151,1.0,1.0,2.0,2.0,34.0,35.0
Max Kepler,2020.0,75.0,65.98842351455345,22.0,21.88,171.0,170.83,39.0,48.53508803473369,3.0,3.0,0.0,0.0,24.0,25.0
,,,,,,,,,,,,,,,
Nick Madrigal,2020.0,38.0,35.79147778370856,4.0,5.92,103.0,100.76,35.0,28.294228732212304,2.0,2.0,1.0,1.0,14.0,11.0
Kyle Lewis,2020.0,90.0,91.14918198260446,34.0,31.19,206.0,207.64,54.0,41.10310767020201,5.0,5.0,1.0,1.0,34.0,28.0
Ryan Mountcastle,2020.0,62.0,46.198192919153854,11.0,9.03,126.0,126.3,42.0,36.174326993219516,0.0,0.0,1.0,1.0,23.0,15.0
Brian Goodwin,2020.0,60.0,56.79530348235721,17.0,17.52,144.0,148.36,31.0,28.653706420522084,5.0,5.0,0.0,0.0,19.0,17.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Victor Robles,2020.0,53.0,52.95938676660694,9.0,11.12,168.0,166.97,37.0,35.33101870384085,4.0,4.0,1.0,1.0,14.0,14.0
Brandon Nimmo,2020.0,90.0,84.55543435565612,33.0,31.22,186.0,195.16,52.0,52.09002965667207,1.0,1.0,2.0,2.0,34.0,30.0
Eduardo Escobar,2020.0,68.0,79.03183014120408,15.0,14.37,203.0,196.14,43.0,50.240909163637426,1.0,1.0,0.0,0.0,18.0,24.0
Adam Duvall,2020.0,101.0,94.02182771782006,15.0,15.12,190.0,190.64,45.0,39.69331173156239,0.0,0.0,0.0,0.0,30.0,25.0
,,,,,,,,,,,,,,,
Hunter Dozier,2020.0,62.0,67.00600160765886,27.0,24.28,158.0,158.07,36.0,33.28264007998173,4.0,4.0,0.0,0.0,22.0,22.0
Victor Reyes,2020.0,79.0,63.12128379119143,9.0,9.44,202.0,201.18,56.0,47.986997991751636,8.0,8.0,2.0,2.0,25.0,18.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Jake Cave,2020.0,44.0,19.098325729842628,5.0,5.98,113.0,114.13,25.0,21.886490870953182,0.0,0.0,2.0,2.0,10.0,4.0
Dylan Carlson,2020.0,40.0,37.4545640159768,8.0,9.17,110.0,111.46,22.0,22.96977042083349,1.0,1.0,1.0,1.0,10.0,10.0
Adam Eaton,2020.0,61.0,58.41998665354264,12.0,12.19,159.0,160.56,36.0,44.53158247429226,3.0,3.0,0.0,0.0,18.0,20.0
,,,,,,,,,,,,,,,
Austin Hays,2020.0,48.0,44.07507415480505,8.0,8.12,122.0,122.83,34.0,32.86885451996307,2.0,2.0,3.0,3.0,14.0,13.0
,,,,,,,,,,,,,,,
Kevin Pillar,2020.0,96.0,76.19758705991346,13.0,13.16,208.0,204.98,60.0,49.698756806741656,5.0,5.0,2.0,2.0,32.0,22.0
Will Smith,2020.0,66.0,65.1220621113208,20.0,19.8,114.0,122.75,33.0,40.73615991112491,0.0,0.0,0.0,0.0,26.0,28.0
Bryce Harper,2020.0,103.0,119.85455143177313,49.0,40.46,190.0,204.37,51.0,60.88115911962707,8.0,8.0,2.0,2.0,44.0,50.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Jorge Polanco,2020.0,74.0,74.27549413784797,13.0,15.37,209.0,207.4,54.0,52.304596021393095,4.0,4.0,2.0,2.0,22.0,23.0
Austin Slater,2020.0,43.0,46.35967017089132,16.0,13.64,85.0,92.3,24.0,20.48009438948644,8.0,8.0,1.0,1.0,19.0,16.0
Nicky Lopez,2020.0,45.0,52.55415889060656,18.0,18.41,169.0,167.48,34.0,41.51068858554972,0.0,0.0,5.0,5.0,11.0,15.0
Nick Castellanos,2020.0,106.0,110.31514232883887,19.0,18.0,218.0,218.27,49.0,55.91229936473641,0.0,0.0,2.0,2.0,29.0,33.0
Randal Grichuk,2020.0,104.0,102.34920536339722,13.0,13.88,216.0,214.66,59.0,54.354372277636884,1.0,1.0,1.0,1.0,32.0,30.0
Shogo Akiyama,2020.0,46.0,50.6620724913153,25.0,22.21,155.0,168.36,38.0,43.60157875870958,7.0,7.0,3.0,3.0,17.0,18.0
Bo Bichette,2020.0,63.0,65.28633517497391,5.0,5.29,123.0,119.85,37.0,32.471699109984485,4.0,4.0,1.0,1.0,21.0,20.0
,,,,,,,,,,,,,,,
Cavan Biggio,2020.0,95.0,83.61827187987132,41.0,39.71,220.0,229.79,55.0,58.07301909777767,6.0,6.0,0.0,0.0,36.0,32.0
Joshua Fuentes,2020.0,43.0,28.800856761306378,2.0,3.49,98.0,96.39,30.0,25.110748631950806,1.0,1.0,0.0,0.0,14.0,8.0
Dylan Moore,2020.0,68.0,65.56800937375262,14.0,15.46,137.0,140.36,35.0,30.608841151250445,12.0,12.0,5.0,5.0,22.0,19.0
David Bote,2020.0,51.0,41.22257559100264,17.0,17.95,125.0,130.14,25.0,30.924599153855333,2.0,2.0,0.0,0.0,15.0,14.0
Cameron Maybin,2020.0,36.0,27.750813118922395,7.0,7.92,93.0,94.77,23.0,18.08306252025794,3.0,3.0,0.0,0.0,11.0,8.0
Alex Verdugo,2020.0,96.0,81.72312060802304,17.0,19.35,201.0,200.88,62.0,50.71584777188405,4.0,4.0,0.0,0.0,36.0,27.0
,,,,,,,,,,,,,,,
Xander Bogaerts,2020.0,102.0,92.29851234885126,21.0,22.52,203.0,212.46,61.0,50.61441768704777,8.0,8.0,0.0,0.0,39.0,30.0
Kyle Tucker,2020.0,107.0,93.7490345196968,18.0,17.73,209.0,211.85,56.0,59.74986300118906,8.0,8.0,1.0,1.0,36.0,33.0
Ketel Marte,2020.0,74.0,65.59500343023998,7.0,9.98,181.0,178.0,52.0,43.9387137096434,1.0,1.0,0.0,0.0,23.0,19.0
Luis Rengifo,2020.0,18.0,17.19539016490316,14.0,12.83,90.0,94.32,14.0,22.937641065263456,3.0,3.0,1.0,1.0,5.0,6.0
Mark Canha,2020.0,78.0,82.30208257766787,37.0,36.12,191.0,206.58,47.0,53.74732089762031,4.0,4.0,0.0,0.0,30.0,32.0
Kris Bryant,2020.0,46.0,45.74350897866826,12.0,11.95,131.0,130.37,27.0,28.538319904296614,0.0,0.0,0.0,0.0,13.0,13.0
Mike Yastrzemski,2020.0,109.0,85.70375448121722,30.0,30.29,192.0,201.01,57.0,52.25334927293939,2.0,2.0,1.0,1.0,43.0,31.0
,,,,,,,,,,,,,,,
Andrew McCutchen,2020.0,94.0,92.0969835211714,22.0,24.8,217.0,218.66,55.0,56.25945539590076,4.0,4.0,0.0,0.0,31.0,32.0
,,,,,,,,,,,,,,,
Kevin Newman,2020.0,43.0,49.04637417027391,12.0,12.61,156.0,152.97,35.0,42.11642974474439,0.0,0.0,1.0,1.0,12.0,16.0
Jason Kipnis,2020.0,46.0,56.95196585962913,18.0,17.23,114.0,120.81,27.0,28.388270094419426,1.0,1.0,0.0,0.0,16.0,19.0
Gregory Polanco,2020.0,51.0,57.68244985460508,13.0,13.84,157.0,160.13,24.0,30.384688671501948,3.0,3.0,1.0,1.0,11.0,15.0
,,,,,,,,,,,,,,,
Aaron Hicks,2020.0,70.0,73.1453234877312,41.0,38.18,169.0,180.53,38.0,49.688677896935836,4.0,4.0,1.0,1.0,27.0,30.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Robbie Grossman,2020.0,80.0,62.19772247574991,21.0,20.42,166.0,169.85,40.0,45.336547637192176,8.0,8.0,1.0,1.0,27.0,23.0
Brandon Lowe,2020.0,107.0,109.97052905290668,25.0,24.86,193.0,198.92,52.0,47.67353765073004,3.0,3.0,0.0,0.0,39.0,36.0
Francisco Lindor,2020.0,98.0,103.32723787747663,24.0,23.51,236.0,252.81,61.0,71.11520880655425,6.0,6.0,2.0,2.0,32.0,36.0
Matt Chapman,2020.0,76.0,70.92752579362104,8.0,13.2,142.0,145.53,33.0,24.34751384801001,0.0,0.0,0.0,0.0,21.0,17.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mike Tauchman,2020.0,29.0,30.58947751679034,14.0,12.94,95.0,97.1,23.0,20.288491839723015,6.0,6.0,0.0,0.0,11.0,11.0
,,,,,,,,,,,,,,,
Alec Bohm,2020.0,77.0,70.1889502331592,16.0,15.44,160.0,159.32,54.0,44.50023031825,1.0,1.0,1.0,1.0,30.0,24.0
Willson Contreras,2020.0,77.0,77.27361645040703,20.0,19.6,189.0,193.6,46.0,44.897504196660904,1.0,1.0,2.0,2.0,24.0,23.0
David Fletcher,2020.0,88.0,65.12289579298806,20.0,20.81,207.0,205.48,66.0,38.847862489758434,2.0,2.0,1.0,1.0,33.0,17.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Max Muncy,2020.0,79.0,101.3779459095243,39.0,39.95,203.0,220.71,39.0,54.125335389484405,1.0,1.0,0.0,0.0,26.0,37.0
,,,,,,,,,,,,,,,
Jonathan Schoop,2020.0,77.0,60.45683680482476,8.0,8.22,162.0,155.43,45.0,33.96160661756016,0.0,0.0,0.0,0.0,24.0,16.0
Jackie Bradley Jr.,2020.0,86.0,79.54700665586448,23.0,22.4,191.0,186.55,54.0,46.068572818967354,5.0,5.0,2.0,2.0,31.0,26.0
Hunter Renfroe,2020.0,48.0,52.44851003089073,14.0,13.72,122.0,126.13,19.0,23.48996009131264,2.0,2.0,0.0,0.0,12.0,14.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Pat Valaika,2020.0,67.0,60.7767799897031,8.0,8.6,141.0,137.56,39.0,33.50420486226899,0.0,0.0,2.0,2.0,20.0,16.0
,,,,,,,,,,,,,,,
Carlos Correa,2020.0,77.0,74.23443124306772,16.0,16.56,201.0,199.99,53.0,53.353261610813306,0.0,0.0,0.0,0.0,24.0,24.0
Marcell Ozuna,2020.0,145.0,119.80916086713546,38.0,34.03,228.0,247.3,77.0,62.87237782668664,0.0,0.0,0.0,0.0,63.0,41.0
,,,,,,,,,,,,,,,
Brad Miller,2020.0,64.0,69.47097682108668,25.0,22.77,142.0,149.4,33.0,33.4537836465863,1.0,1.0,0.0,0.0,22.0,23.0
Adam Frazier,2020.0,76.0,82.2522928782374,17.0,17.98,209.0,206.53,48.0,52.026298868146526,1.0,1.0,3.0,3.0,21.0,24.0
J.D. Davis,2020.0,74.0,77.92562916048581,31.0,29.53,190.0,197.84,47.0,51.090604750162036,0.0,0.0,0.0,0.0,26.0,28.0
Yuli Gurriel,2020.0,81.0,81.27941997298151,12.0,12.71,211.0,206.79,49.0,58.67261903113383,0.0,0.0,1.0,1.0,22.0,26.0
,,,,,,,,,,,,,,,
Didi Gregorius,2020.0,105.0,87.8234264162031,15.0,14.81,215.0,213.02,61.0,59.88631823138911,3.0,3.0,2.0,2.0,34.0,28.0
Danny Jansen,2020.0,43.0,57.652291119348945,21.0,19.08,120.0,124.8,22.0,34.33392619632554,0.0,0.0,0.0,0.0,13.0,21.0
Josh Naylor,2020.0,32.0,33.271009768062044,5.0,6.01,97.0,94.92,24.0,29.20549708345566,1.0,1.0,0.0,0.0,9.0,12.0
Jose Iglesias,2020.0,79.0,46.391771002204564,3.0,5.56,142.0,139.51,53.0,36.26813683725955,0.0,0.0,0.0,0.0,31.0,13.0
Ian Happ,2020.0,100.0,77.25885587041016,30.0,29.03,198.0,205.78,51.0,48.46961999712187,1.0,1.0,3.0,3.0,34.0,24.0
Corey Seager,2020.0,124.0,122.32665149828617,17.0,16.71,212.0,208.15,65.0,67.13748931174501,1.0,1.0,0.0,0.0,45.0,46.0
Rougned Odor,2020.0,57.0,70.39600491521654,7.0,8.17,138.0,135.14,23.0,28.20425916154182,0.0,0.0,1.0,1.0,11.0,17.0
Jeff McNeil,2020.0,83.0,76.37216073249095,20.0,17.17,183.0,190.18,57.0,58.17999127208867,0.0,0.0,2.0,2.0,30.0,27.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
David Peralta,2020.0,88.0,72.85162323114585,13.0,14.21,203.0,199.54,61.0,44.0555481420857,1.0,1.0,0.0,0.0,30.0,20.0
JaCoby Jones,2020.0,50.0,32.95319231191618,7.0,8.88,97.0,99.18,26.0,15.449411982671577,1.0,1.0,1.0,1.0,15.0,7.0
Joey Gallo,2020.0,73.0,86.19524845659157,29.0,29.78,193.0,198.46,35.0,40.7266063286199,2.0,2.0,0.0,0.0,21.0,27.0
Jason Heyward,2020.0,67.0,50.07852579693977,30.0,28.61,147.0,158.22,39.0,43.27213595635162,2.0,2.0,0.0,0.0,27.0,20.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Jonathan Villar,2020.0,54.0,51.22142387732309,19.0,16.51,185.0,180.78,43.0,43.89691148041524,16.0,16.0,5.0,5.0,18.0,17.0
Jurickson Profar,2020.0,77.0,69.5416463627751,15.0,15.64,180.0,182.78,50.0,46.51599758651816,7.0,7.0,1.0,1.0,27.0,23.0
Alex Bregman,2020.0,69.0,56.98601389351268,24.0,23.86,153.0,156.51,37.0,43.65818261135668,0.0,0.0,0.0,0.0,24.0,21.0
Corey Dickerson,2020.0,78.0,80.43289940281082,15.0,14.79,194.0,187.68,50.0,49.79203872816719,1.0,1.0,1.0,1.0,24.0,25.0
Ben Gamel,2020.0,46.0,41.20785775944117,13.0,12.45,114.0,113.09,27.0,22.393229940439866,0.0,0.0,2.0,2.0,14.0,11.0
Keston Hiura,2020.0,89.0,95.99018546145044,16.0,16.71,217.0,218.05,46.0,42.56240997967801,3.0,3.0,2.0,2.0,23.0,24.0
Eddie Rosario,2020.0,100.0,88.30131639205999,19.0,17.04,210.0,207.59,54.0,59.87003850024458,3.0,3.0,1.0,1.0,32.0,30.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Christian Walker,2020.0,100.0,85.97643510027768,19.0,17.47,218.0,220.18,59.0,63.23960084042886,1.0,1.0,1.0,1.0,33.0,29.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Justin Upton,2020.0,62.0,54.5387628749893,11.0,13.67,147.0,149.86,30.0,34.23871950741826,0.0,0.0,2.0,2.0,15.0,15.0
,,,,,,,,,,,,,,,
Shed Long Jr.,2020.0,34.0,37.826319654370764,11.0,10.18,117.0,114.38,20.0,20.265305173541577,4.0,4.0,0.0,0.0,9.0,10.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Alex Dickerson,2020.0,87.0,72.46688171641782,16.0,13.58,151.0,150.62,45.0,40.006192561043996,0.0,0.0,0.0,0.0,32.0,24.0
,,,,,,,,,,,,,,,
Charlie Blackmon,2020.0,99.0,85.61840560766197,19.0,17.9,221.0,216.84,67.0,51.83157689728459,2.0,2.0,1.0,1.0,35.0,25.0
Michael Conforto,2020.0,104.0,93.82412734359404,24.0,24.09,202.0,199.69,65.0,45.29710050946642,3.0,3.0,3.0,3.0,40.0,28.0
,,,,,,,,,,,,,,,
Kyle Schwarber,2020.0,75.0,82.2215676607355,30.0,31.32,191.0,194.92,36.0,48.14630268951766,1.0,1.0,0.0,0.0,23.0,29.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Austin Riley,2020.0,78.0,81.973536764687,16.0,15.01,188.0,186.7,45.0,48.309858582283326,0.0,0.0,0.0,0.0,23.0,26.0
,,,,,,,,,,,,,,,
Dexter Fowler,2020.0,35.0,36.223166128250526,10.0,10.28,90.0,94.65,21.0,22.937790802996275,1.0,1.0,1.0,1.0,11.0,11.0
Jeimer Candelario,2020.0,93.0,79.0203287209556,20.0,19.55,185.0,190.39,55.0,49.14090235749574,1.0,1.0,1.0,1.0,34.0,26.0
J.P. Crawford,2020.0,69.0,69.12643978166483,23.0,25.52,204.0,201.18,52.0,50.341538623867876,6.0,6.0,3.0,3.0,23.0,23.0
Hanser Alberto,2020.0,86.0,74.43081939996836,5.0,6.9,219.0,195.71,62.0,54.96302702801137,3.0,3.0,0.0,0.0,26.0,23.0
Tyler Naquin,2020.0,51.0,44.51969316847838,5.0,5.39,133.0,132.84,29.0,36.170214840579476,0.0,0.0,1.0,1.0,12.0,13.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Aaron Judge,2020.0,56.0,46.28818850734609,10.0,10.51,101.0,104.93,26.0,19.444827854773145,0.0,0.0,1.0,1.0,18.0,12.0
,,,,,,,,,,,,,,,
Joey Bart,2020.0,33.0,3.816653148395602,3.0,3.73,103.0,100.74,24.0,17.231147024257588,0.0,0.0,0.0,0.0,8.0,1.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Pedro Severino,2020.0,62.0,70.06602443612596,16.0,15.61,160.0,161.27,40.0,37.81422986392816,1.0,1.0,0.0,0.0,20.0,21.0
,,,,,,,,,,,,,,,
Rafael Devers,2020.0,112.0,105.43683213161171,13.0,13.98,232.0,225.62,61.0,51.80189923929892,0.0,0.0,0.0,0.0,34.0,29.0
,,,,,,,,,,,,,,,
Anthony Santander,2020.0,88.0,77.36213332072333,10.0,8.93,153.0,147.55,40.0,38.41110977382016,0.0,0.0,1.0,1.0,26.0,23.0
Kolten Wong,2020.0,59.0,62.52198720076038,20.0,20.04,181.0,187.45,48.0,52.91310536750641,5.0,5.0,2.0,2.0,20.0,22.0
,,,,,,,,,,,,,,,
Carter Kieboom,2020.0,21.0,30.53567544180484,17.0,14.67,99.0,109.03,20.0,26.6689538823791,0.0,0.0,1.0,1.0,6.0,10.0
,,,,,,,,,,,,,,,
Austin Barnes,2020.0,27.0,16.38856424193753,13.0,10.82,86.0,88.18,21.0,29.29316934032765,3.0,3.0,0.0,0.0,10.0,7.0
Jorge Soler,2020.0,66.0,79.08204368820657,19.0,21.78,149.0,154.75,34.0,29.29658773418884,0.0,0.0,0.0,0.0,21.0,23.0
Tony Kemp,2020.0,28.0,43.78995223544227,15.0,12.68,93.0,92.34,23.0,32.660576472654796,3.0,3.0,1.0,1.0,10.0,19.0
Evan Longoria,2020.0,82.0,92.09522385785878,11.0,14.09,193.0,195.76,49.0,49.061397710862224,0.0,0.0,1.0,1.0,24.0,27.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Luis Arraez,2020.0,45.0,49.285898049813085,8.0,9.06,112.0,116.15,36.0,41.15689849112859,0.0,0.0,0.0,0.0,16.0,20.0
Donovan Solano,2020.0,88.0,66.85572440413472,10.0,10.99,190.0,185.26,62.0,45.20968285549122,0.0,0.0,0.0,0.0,32.0,19.0
Paul DeJong,2020.0,53.0,56.24617028820096,17.0,16.75,152.0,154.11,38.0,42.66509925662652,1.0,1.0,0.0,0.0,17.0,20.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Joc Pederson,2020.0,48.0,49.26890415233092,11.0,11.51,121.0,123.84,23.0,27.59321716756719,1.0,1.0,0.0,0.0,13.0,14.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Stephen Piscotty,2020.0,57.0,47.72628673424593,9.0,7.96,159.0,152.37,36.0,30.817009346993324,4.0,4.0,0.0,0.0,16.0,12.0
,,,,,,,,,,,,,,,
Daniel Murphy,2020.0,41.0,55.367936594870685,7.0,6.71,123.0,118.04,29.0,33.02359970976328,0.0,0.0,0.0,0.0,11.0,18.0
Jared Walsh,2020.0,64.0,61.884684206537656,5.0,6.17,99.0,101.4,29.0,26.32871553093269,0.0,0.0,0.0,0.0,21.0,19.0
Austin Meadows,2020.0,49.0,40.448363602013615,17.0,14.96,132.0,137.97,27.0,34.90290581899444,2.0,2.0,1.0,1.0,14.0,13.0
,,,,,,,,,,,,,,,
Max Stassi,2020.0,48.0,42.83705737563912,11.0,10.43,90.0,92.42,25.0,22.357727553386425,0.0,0.0,0.0,0.0,17.0,14.0
Brian Anderson,2020.0,93.0,81.25945475973612,22.0,20.79,200.0,200.39,51.0,47.37275604459322,0.0,0.0,0.0,0.0,31.0,25.0
Manny Machado,2020.0,130.0,113.84952007548858,26.0,25.98,224.0,224.74,68.0,60.43292610311542,6.0,6.0,3.0,3.0,48.0,39.0
,,,,,,,,,,,,,,,
Elvis Andrus,2020.0,34.0,36.72089426715465,8.0,8.39,103.0,102.34,20.0,27.514724691866498,3.0,3.0,1.0,1.0,9.0,12.0
Ender Inciarte,2020.0,29.0,53.82430533821787,12.0,11.21,116.0,114.9,22.0,30.32543504285797,4.0,4.0,1.0,1.0,8.0,18.0
