Player,AB,H,2B,3B,HR,BB,,TB,Runs,Season
LaMonte Wade Jr.,429,110,14,2,17,76,,179,66.0,2023
Thairo Estrada,495,134,26,2,14,22,,206,62.0,2023
Lars Nootbaar,426,111,23,1,14,72,,178,65.0,2023
Alec Burleson,315,77,20,1,8,23,,123,36.0,2023
Masyn Winn,122,21,2,0,2,10,,29,7.0,2023
Nolan Arenado,560,149,26,2,26,41,,257,81.0,2023
Andrew Knizner,224,54,11,0,10,12,,95,27.0,2023
Brendan Donovan,327,93,10,1,11,33,,138,48.0,2023
Luken Baker,86,18,3,0,2,13,,27,8.0,2023
Juniel Querecuto,20,2,1,0,0,1,,3,0.0,2023
Irving Lopez,11,0,0,0,0,0,,0,0.0,2023
Tyler O'Neill,238,55,14,0,9,28,,96,30.0,2023
Dylan Carlson,219,48,8,1,5,26,,73,22.0,2023
Tommy Edman,479,119,25,4,13,35,,191,57.0,2023
José Fermín,51,12,1,0,0,6,,13,4.0,2023
Michael Siani,5,0,0,0,0,1,,0,0.0,2023
Iván Herrera,37,11,2,0,0,5,,13,5.0,2023
Juan Yepez,60,11,1,0,2,4,,18,4.0,2023
Richie Palacios,93,24,6,0,6,6,,48,15.0,2023
Nolan Gorman,406,96,17,0,27,53,,194,63.0,2023
Jordan Walker,420,116,19,2,16,37,,187,63.0,2023
Willson Contreras,428,113,27,0,20,51,,200,68.0,2023
Paul Goldschmidt,593,159,31,0,25,87,,265,96.0,2023
Yandy Díaz,525,173,35,0,22,65,,274,111.0,2023
René Pinto,103,26,3,0,6,2,,47,13.0,2023
Osleivis Basabe,87,19,5,0,1,6,,27,7.0,2023
Luke Raley,357,89,23,3,19,28,,175,53.0,2023
Jonathan Aranda,87,20,4,1,2,13,,32,11.0,2023
Junior Caminero,34,8,1,0,1,2,,12,3.0,2023
Isaac Paredes,492,123,24,0,31,58,,240,79.0,2023
Harold Ramírez,400,125,19,2,12,22,,184,64.0,2023
Tristan Gray,5,2,0,0,1,0,,5,2.0,2023
Vidal Bruján,76,13,2,0,0,5,,15,3.0,2023
Curtis Mead,83,21,3,1,1,7,,29,9.0,2023
Raimel Tapia,148,35,4,1,3,17,,50,16.0,2023
Jose Siri,338,75,13,2,25,20,,167,44.0,2023
Taylor Walls,303,61,12,2,8,44,,101,31.0,2023
Christian Bethancourt,315,71,16,0,11,13,,120,31.0,2023
Manuel Margot,311,82,21,1,4,18,,117,36.0,2023
Brandon Lowe,377,87,15,1,21,50,,167,54.0,2023
Josh Lowe,466,136,33,2,20,31,,233,78.0,2023
Randy Arozarena,551,140,19,3,23,80,,234,82.0,2023
Travis Jankowski,247,65,12,1,1,35,,82,29.0,2023
Josh Jung,478,127,25,1,23,30,,223,69.0,2023
Josh Smith,195,36,8,1,6,25,,64,18.0,2023
Leody Taveras,511,136,31,3,14,35,,215,67.0,2023
Mitch Garver,296,80,11,0,19,44,,148,54.0,2023
Brad Miller,56,12,4,0,1,10,,19,6.0,2023
Austin Hedges,185,34,5,0,1,11,,42,10.0,2023
Jonathan Ornelas,7,1,0,0,0,0,,1,0.0,2023
J.P. Martínez,40,9,1,0,1,2,,13,3.0,2023
Sam Huff,43,11,2,0,3,2,,22,6.0,2023
Evan Carter,62,19,4,1,5,12,,40,17.0,2023
Robbie Grossman,353,84,23,1,10,57,,139,48.0,2023
Ezequiel Duran,406,112,22,2,14,23,,180,57.0,2023
Jonah Heim,457,118,28,0,18,40,,200,64.0,2023
Adolis García,555,136,29,0,39,65,,282,91.0,2023
Corey Seager,477,156,42,0,33,49,,297,116.0,2023
Nathaniel Lowe,623,163,38,3,17,93,,258,92.0,2023
Marcus Semien,670,185,40,4,29,72,,320,111.0,2023
Santiago Espinal,230,57,14,0,2,18,,77,23.0,2023
Matt Chapman,509,122,39,2,17,62,,216,70.0,2023
George Springer,613,158,25,1,21,60,,248,80.0,2023
Cam Eden,6,1,0,0,0,0,,1,0.0,2023
Davis Schneider,116,32,12,1,8,21,,70,27.0,2023
Alejandro Kirk,372,93,16,0,8,42,,133,43.0,2023
Cavan Biggio,289,68,12,0,9,40,,107,35.0,2023
Kevin Kiermaier,370,98,21,6,8,29,,155,49.0,2023
Whit Merrifield,547,149,27,0,11,36,,209,66.0,2023
Vladimir Guerrero Jr.,602,159,30,0,26,67,,267,90.0,2023
Brandon Belt,339,86,23,0,19,61,,166,61.0,2023
Nathan Lukes,26,5,1,1,0,4,,8,2.0,2023
Danny Jansen,268,61,15,0,17,23,,127,37.0,2023
Spencer Horwitz,39,10,2,0,1,4,,15,5.0,2023
Tyler Heineman,38,9,1,1,0,8,,12,4.0,2023
Ernie Clement,50,19,1,1,1,1,,25,10.0,2023
Daulton Varsho,527,116,23,3,20,45,,205,58.0,2023
Bo Bichette,571,175,30,3,20,27,,271,92.0,2023
Jordan Luplow,77,16,3,0,2,12,,25,8.0,2023
Max Kepler,438,114,22,2,24,45,,212,70.0,2023
Jose Miranda,142,30,4,0,3,9,,43,11.0,2023
Jorge Polanco,302,77,18,0,14,36,,137,46.0,2023
Edouard Julien,338,89,16,1,16,64,,155,59.0,2023
Donovan Solano,394,111,26,1,5,40,,154,54.0,2023
Royce Lewis,217,67,7,0,15,20,,119,44.0,2023
Byron Buxton,304,63,17,1,17,35,,133,38.0,2023
Andrew Stevenson,37,7,1,0,0,2,,8,2.0,2023
Nick Gordon,91,16,5,1,2,1,,29,5.0,2023
Trevor Larnach,183,39,7,3,8,27,,76,24.0,2023
Matt Wallner,213,53,11,1,14,28,,108,36.0,2023
Joey Gallo,282,50,9,1,21,48,,124,37.0,2023
Ryan Jeffers,286,79,15,2,14,33,,140,49.0,2023
Alex Kirilloff,281,76,14,1,11,28,,125,42.0,2023
Michael A. Taylor,355,78,14,1,21,26,,157,43.0,2023
Christian Vázquez,327,73,13,0,6,25,,104,29.0,2023
Kyle Farmer,336,86,14,2,11,23,,137,42.0,2023
Willi Castro,358,92,18,5,9,34,,147,47.0,2023
Carlos Correa,514,118,29,2,18,59,,205,63.0,2023
Rodolfo Castro,227,48,7,0,6,23,,73,21.0,2023
Trea Turner,639,170,35,5,26,45,,293,92.0,2023
Weston Wilson,16,5,0,0,1,6,,8,4.0,2023
Brandon Marsh,404,112,25,6,12,59,,185,68.0,2023
Kody Clemens,139,32,7,0,4,8,,51,14.0,2023
Bryson Stott,585,164,32,2,15,39,,245,80.0,2023
Edmundo Sosa,279,70,15,2,10,8,,119,32.0,2023
Darick Hall,54,9,1,0,1,2,,13,3.0,2023
Cristian Pache,84,20,7,1,2,10,,35,11.0,2023
Garrett Stubbs,113,23,4,1,1,9,,32,8.0,2023
Johan Rojas,149,45,9,2,2,5,,64,21.0,2023
Jake Cave,184,39,8,1,5,15,,64,17.0,2023
Bryce Harper,457,134,29,1,21,80,,228,91.0,2023
J.T. Realmuto,489,123,28,5,20,35,,221,67.0,2023
Kyle Schwarber,585,115,19,1,47,126,,277,94.0,2023
Nick Castellanos,626,170,37,2,29,36,,298,93.0,2023
Alec Bohm,558,153,31,0,20,42,,244,79.0,2023
Michael Harris II,505,148,33,3,18,25,,241,79.0,2023
Nicky Lopez,225,52,8,3,1,26,,69,21.0,2023
Andrew Velazquez,81,14,3,0,2,10,,23,6.0,2023
Luke Williams,19,1,0,0,0,0,,1,0.0,2023
Austin Riley,636,179,32,3,37,59,,328,112.0,2023
Eddie Rosario,478,122,24,3,21,34,,215,66.0,2023
Marcell Ozuna,530,145,29,1,40,57,,296,102.0,2023
Chadwick Tromp,16,2,1,0,0,0,,3,0.0,2023
Braden Shewmake,4,0,0,0,0,0,,0,0.0,2023
Forrest Wall,13,6,2,0,1,2,,11,6.0,2023
Sam Hilliard,72,17,5,0,3,6,,31,9.0,2023
Vaughn Grissom,75,21,3,1,0,2,,26,8.0,2023
Kevin Pillar,197,45,10,0,9,6,,82,21.0,2023
Travis d'Arnaud,267,60,13,0,11,21,,106,30.0,2023
Sean Murphy,370,93,21,0,21,49,,177,60.0,2023
Orlando Arcia,488,129,25,0,17,39,,205,65.0,2023
Matt Olson,608,172,27,3,54,104,,367,142.0,2023
Ozzie Albies,596,167,30,5,33,46,,306,102.0,2023
Ronald Acuña Jr.,643,217,35,4,41,80,,383,157.0,2023
Lenyn Sosa,164,33,6,0,6,5,,57,13.0,2023
Andrew Vaughn,566,146,30,2,21,36,,243,73.0,2023
Adam Haseley,36,8,2,0,0,3,,10,3.0,2023
Yasmani Grandal,363,85,14,0,8,36,,123,37.0,2023
Korey Lee,65,5,1,0,1,5,,9,1.0,2023
Carlos Pérez,49,10,4,0,1,4,,17,4.0,2023
Clint Frazier,66,13,1,1,0,10,,16,5.0,2023
Romy Gonzalez,93,18,4,2,3,2,,35,7.0,2023
Trayce Thompson,153,25,2,0,6,24,,45,12.0,2023
Zach Remillard,147,37,7,0,1,8,,47,14.0,2023
Oscar Colás,245,53,9,0,5,12,,77,19.0,2023
Yoán Moncada,334,87,20,1,11,20,,142,43.0,2023
Gavin Sheets,311,63,10,0,10,28,,103,28.0,2023
Elvis Andrus,374,94,20,1,6,25,,134,40.0,2023
Eloy Jiménez,456,124,23,0,18,30,,201,64.0,2023
Tim Anderson,493,121,18,2,1,26,,146,41.0,2023
Luis Robert Jr.,546,144,36,1,38,30,,296,89.0,2023
Andrew Benintendi,562,147,34,2,5,52,,200,65.0,2023
Avisaíl García,108,20,3,1,3,6,,34,8.0,2023
Jacob Stallings,241,46,14,0,3,27,,69,19.0,2023
Jorge Soler,504,126,24,0,36,66,,258,87.0,2023
Luis Arraez,574,203,30,3,10,35,,269,105.0,2023
Jesús Sánchez,360,91,23,3,14,38,,162,53.0,2023
Jazz Chisholm Jr.,352,88,12,2,19,26,,161,49.0,2023
Garrett Hampson,221,61,12,1,3,23,,84,29.0,2023
Bryan De La Cruz,579,149,32,0,19,40,,238,73.0,2023
Jonathan Davis,90,22,4,1,2,7,,34,10.0,2023
Yuli Gurriel,298,73,16,3,4,26,,107,33.0,2023
Jacob Amaya,9,2,0,0,0,0,,2,0.0,2023
Peyton Burdick,33,6,2,0,1,3,,11,3.0,2023
Dane Myers,67,18,3,0,1,2,,24,7.0,2023
Xavier Edwards,78,23,3,0,0,3,,26,8.0,2023
Joey Wendle,297,63,16,3,2,13,,91,22.0,2023
Nick Fortes,294,60,10,0,6,17,,88,22.0,2023
Jon Berti,388,114,16,3,7,29,,157,54.0,2023
Jake Burger,492,123,28,1,34,32,,255,75.0,2023
Josh Bell,547,135,28,0,22,63,,229,74.0,2023
Anthony Rizzo,373,91,14,0,12,35,,141,44.0,2023
Austin Wells,70,16,6,0,4,3,,34,9.0,2023
Oswald Peraza,173,33,8,0,2,13,,47,12.0,2023
Jasson Domínguez,31,8,1,0,4,2,,21,6.0,2023
Anthony Volpe,541,113,23,4,21,52,,207,58.0,2023
Billy McKinney,128,29,3,1,6,17,,52,16.0,2023
DJ LeMahieu,497,121,22,3,15,60,,194,63.0,2023
Aaron Judge,367,98,16,0,37,88,,225,92.0,2023
Jake Bauers,242,49,15,0,12,27,,100,28.0,2023
Giancarlo Stanton,371,71,13,0,24,41,,156,42.0,2023
Kyle Higashioka,242,57,13,0,10,14,,100,28.0,2023
Ben Rortvedt,68,8,1,0,2,11,,15,4.0,2023
Estevan Florial,61,14,3,1,0,7,,19,6.0,2023
Franchy Cordero,69,13,2,0,6,2,,33,7.0,2023
Everson Pereira,93,14,4,0,0,8,,18,4.0,2023
Jose Trevino,157,33,4,0,4,8,,49,12.0,2023
Oswaldo Cabrera,298,63,11,0,5,25,,89,24.0,2023
Isiah Kiner-Falefa,326,79,12,1,6,28,,111,34.0,2023
Gleyber Torres,596,163,28,2,25,67,,270,94.0,2023
Andruw Monasterio,282,73,14,1,3,28,,98,32.0,2023
Mark Canha,435,114,25,1,11,49,,174,59.0,2023
Jahmai Jones,10,2,1,0,0,1,,3,1.0,2023
Victor Caratini,201,52,4,0,7,19,,77,25.0,2023
Willy Adames,553,120,29,2,24,71,,225,69.0,2023
Darin Ruf,49,11,3,0,0,8,,14,5.0,2023
Blake Perkins,143,31,7,0,4,23,,50,16.0,2023
Josh Donaldson,165,25,5,0,13,22,,69,17.0,2023
Abraham Toro,18,8,0,0,2,2,,14,7.0,2023
Garrett Mitchell,65,16,2,1,3,7,,29,9.0,2023
Jesse Winker,166,33,5,0,1,26,,41,13.0,2023
Sal Frelick,191,47,9,1,3,28,,67,23.0,2023
Tyrone Taylor,231,54,17,1,10,8,,103,27.0,2023
Rowdy Tellez,311,67,9,1,13,35,,117,34.0,2023
Owen Miller,291,76,17,0,5,17,,108,33.0,2023
Joey Wiemer,367,75,19,0,13,36,,133,37.0,2023
Brice Turang,404,88,9,3,6,38,,121,34.0,2023
Christian Yelich,550,153,34,1,19,78,,246,90.0,2023
William Contreras,540,156,38,1,17,63,,247,90.0,2023
Carlos Santana,550,132,33,1,23,65,,236,76.0,2023
Jose Herrera,97,22,4,1,1,9,,31,9.0,2024
Christian Walker,479,120,26,0,26,55,,224,73.0,2024
Josh Bell,538,134,23,2,19,51,,218,68.0,2024
Adrian Del Castillo,80,25,5,0,4,7,,42,15.0,2024
Pavin Smith,137,37,11,0,9,18,,75,27.0,2024
Kevin Newman,288,80,17,1,3,15,,108,34.0,2024
Alek Thomas,95,18,5,1,3,7,,34,8.0,2024
Joc Pederson,367,101,17,1,23,55,,189,70.0,2024
Eugenio Suárez,571,146,28,2,30,49,,268,84.0,2024
Blaze Alexander,166,41,7,0,3,15,,57,18.0,2024
Gabriel Moreno,305,81,18,1,5,41,,116,41.0,2024
Jorge Barrosa,17,3,2,0,0,0,,5,1.0,2024
Randal Grichuk,254,74,20,2,12,20,,134,46.0,2024
Geraldo Perdomo,337,92,21,2,3,36,,126,43.0,2024
Jake McCarthy,442,126,13,7,8,31,,177,59.0,2024
Ketel Marte,504,147,23,2,36,65,,282,105.0,2024
Lourdes Gurriel Jr.,513,143,22,2,18,29,,223,71.0,2024
Corbin Carroll,589,136,22,14,22,73,,252,80.0,2024
Gunnar Henderson,630,177,31,7,37,78,,333,120.0,2024
Adley Rutschman,571,143,21,1,19,58,,223,71.0,2024
Emmanuel Rivera,265,63,9,2,5,26,,91,28.0,2024
Ryan O'Hearn,443,117,21,3,15,46,,189,63.0,2024
Colton Cowser,499,121,24,3,24,52,,223,70.0,2024
Jorge Mateo,192,44,14,2,5,10,,77,21.0,2024
Livan Soto,13,3,1,0,0,3,,4,2.0,2024
Daniel Johnson,1,0,0,0,0,0,,0,0.0,2024
Jackson Holliday,190,36,4,2,5,15,,59,15.0,2024
Coby Mayo,41,4,0,0,0,4,,4,1.0,2024
Heston Kjerstad,99,25,2,0,4,10,,39,13.0,2024
Austin Slater,177,37,4,0,2,26,,47,15.0,2024
Anthony Santander,595,140,25,2,44,58,,301,91.0,2024
James McCann,214,50,9,0,8,13,,83,23.0,2024
Ramón Urías,272,69,9,2,11,23,,115,36.0,2024
Eloy Jiménez,324,77,14,0,6,22,,109,31.0,2024
Jordan Westburg,416,110,26,5,18,22,,200,60.0,2024
Cedric Mullins,444,104,16,3,18,41,,180,54.0,2024
Ryan Mountcastle,473,128,30,2,13,27,,201,62.0,2024
Nick Sogard,77,21,4,0,0,7,,25,8.0,2024
Masataka Yoshida,378,106,21,0,10,27,,157,52.0,2024
Tyler O'Neill,411,99,18,0,31,53,,210,69.0,2024
Trevor Story,94,24,7,0,2,11,,37,12.0,2024
Romy Gonzalez,199,53,10,1,6,12,,83,26.0,2024
David Hamilton,294,73,17,1,8,22,,116,35.0,2024
Connor Wong,447,125,24,1,13,28,,190,61.0,2024
Vaughn Grissom,105,20,3,0,0,7,,23,6.0,2024
Mickey Gasper,18,0,0,0,0,4,,0,0.0,2024
Triston Casas,212,51,8,0,13,30,,98,33.0,2024
Enmanuel Valdez,201,43,12,0,6,17,,73,20.0,2024
Rob Refsnyder,272,77,16,1,11,28,,128,45.0,2024
Danny Jansen,278,57,13,0,9,40,,97,30.0,2024
Wilyer Abreu,399,101,33,2,15,40,,183,59.0,2024
Rafael Devers,525,143,34,5,28,67,,271,96.0,2024
Ceddanne Rafaela,544,134,23,5,15,15,,212,57.0,2024
Jarren Duran,671,191,48,14,21,54,,330,112.0,2024
Joey Wiemer,26,4,0,0,0,2,,4,1.0,2024
Amed Rosario,332,93,18,3,3,9,,126,38.0,2024
Jake Fraley,350,97,19,2,5,26,,135,44.0,2024
Stuart Fairchild,209,45,8,0,8,17,,77,21.0,2024
Noelvi Marte,229,48,9,0,4,9,,69,17.0,2024
Austin Wynns,19,7,4,0,0,0,,11,4.0,2024
Jeimer Candelario,427,96,23,2,20,27,,183,50.0,2024
TJ Friedl,297,67,5,1,13,26,,113,33.0,2024
Luke Maile,135,24,4,0,2,13,,34,8.0,2024
Santiago Espinal,357,88,12,0,9,24,,127,37.0,2024
Christian Encarnacion-Strand,116,22,6,0,2,4,,34,7.0,2024
Tyler Stephenson,457,118,26,1,19,48,,203,67.0,2024
Jonathan India,533,132,28,2,15,80,,209,72.0,2024
Spencer Steer,574,129,34,4,20,72,,231,72.0,2024
Blake Dunn,26,4,1,0,1,2,,8,2.0,2024
Rece Hinds,46,12,4,1,5,4,,33,11.0,2024
Jacob Hurtubise,54,10,1,1,0,6,,13,3.0,2024
Nick Martini,146,31,4,2,5,9,,54,14.0,2024
Will Benson,343,64,19,2,14,40,,129,35.0,2024
Ty France,479,112,24,0,13,38,,175,51.0,2024
Elly De La Cruz,618,160,36,10,25,69,,291,97.0,2024
Angel Martínez,151,35,7,0,3,15,,51,15.0,2024
David Fry,335,88,18,1,14,42,,150,52.0,2024
Will Brennan,330,87,13,2,8,19,,128,39.0,2024
Tyler Freeman,330,69,14,1,7,28,,106,29.0,2024
Josh Naylor,563,137,27,0,31,58,,257,81.0,2024
Gabriel Arias,153,34,9,1,3,6,,54,14.0,2024
Daniel Schneemann,193,42,10,2,5,25,,71,22.0,2024
Lane Thomas,472,112,26,3,15,44,,189,57.0,2024
Myles Straw,4,1,0,0,0,0,,1,0.0,2024
Johnathan Rodríguez,31,4,1,0,0,9,,5,2.0,2024
Austin Hedges,132,20,3,0,2,6,,29,5.0,2024
Kyle Manzardo,145,34,12,0,5,9,,61,17.0,2024
Jhonkensy Noel,179,39,7,1,13,13,,87,24.0,2024
Bo Naylor,354,71,10,2,13,29,,124,32.0,2024
Brayan Rocchio,383,79,18,0,8,44,,121,35.0,2024
Steven Kwan,480,140,16,3,14,53,,204,74.0,2024
Andrés Giménez,583,147,22,1,9,26,,198,56.0,2024
José Ramírez,620,173,39,2,39,54,,333,112.0,2024
Sam Hilliard,138,33,5,1,10,14,,70,22.0,2024
Hunter Goodman,211,40,9,0,13,8,,88,19.0,2024
Nolan Jones,256,58,13,1,3,36,,82,26.0,2024
Aaron Schunk,94,22,3,0,2,4,,31,8.0,2024
Drew Romo,51,9,3,0,0,2,,12,2.0,2024
Sean Bouchard,91,17,7,0,1,12,,27,8.0,2024
Brendan Rodgers,501,134,29,1,13,31,,204,63.0,2024
Ryan McMahon,567,137,28,0,20,69,,225,73.0,2024
Greg Jones,5,1,0,0,1,1,,4,1.0,2024
Adael Amador,35,6,1,0,0,1,,7,1.0,2024
Kris Bryant,133,29,5,0,2,13,,40,12.0,2024
Jordan Beck,170,32,6,0,3,12,,47,11.0,2024
Jacob Stallings,243,64,17,1,9,27,,110,37.0,2024
Jake Cave,323,81,16,5,7,18,,128,37.0,2024
Michael Toglia,399,87,14,3,25,54,,182,57.0,2024
Brenton Doyle,542,141,24,4,23,46,,242,77.0,2024
Ezequiel Tovar,655,176,45,4,26,23,,307,90.0,2024
Parker Meadows,270,66,12,6,9,25,,117,36.0,2024
Wenceel Pérez,389,94,16,6,9,32,,149,45.0,2024
Zach McKinstry,297,64,14,5,4,24,,100,27.0,2024
Ryan Kreidler,59,7,0,0,1,6,,10,2.0,2024
Colt Keith,516,134,15,4,13,36,,196,60.0,2024
Akil Baddoo,73,10,2,2,2,8,,22,5.0,2024
Kerry Carpenter,264,75,16,5,18,22,,155,53.0,2024
Jace Jung,79,19,5,0,0,15,,24,9.0,2024
Justyn-Henry Malloy,202,41,7,1,8,23,,74,21.0,2024
Matt Vierling,518,133,28,5,16,41,,219,68.0,2024
Ryan Vilade,45,8,0,0,1,2,,11,2.0,2024
Bligh Madris,67,18,3,0,1,6,,24,8.0,2024
Dillon Dingler,84,14,5,2,1,3,,26,5.0,2024
Trey Sweeney,110,24,5,0,4,7,,41,11.0,2024
Andy Ibáñez,224,54,9,1,5,15,,80,23.0,2024
Javier Báez,272,50,12,0,6,12,,80,17.0,2024
Jake Rogers,310,61,16,1,10,22,,109,27.0,2024
Spencer Torkelson,342,75,21,1,10,33,,128,37.0,2024
Riley Greene,512,134,27,6,24,64,,245,84.0,2024
Jake Meyers,461,101,20,3,13,35,,166,46.0,2024
Pedro León,20,2,0,0,0,1,,2,0.0,2024
Grae Kessinger,21,0,0,0,0,3,,0,0.0,2024
Zach Dezenzo,62,15,2,0,2,3,,23,6.0,2024
Cooper Hummel,8,0,0,0,0,0,,0,0.0,2024
Shay Whitcomb,41,9,3,0,0,5,,12,4.0,2024
Victor Caratini,245,66,8,1,8,23,,100,33.0,2024
Jon Singleton,355,83,13,1,13,47,,137,44.0,2024
Mauricio Dubón,402,108,25,0,4,16,,145,43.0,2024
Chas McCormick,242,51,6,1,5,17,,74,19.0,2024
Jose Altuve,628,185,31,0,20,47,,276,95.0,2024
César Salazar,25,8,2,0,0,2,,10,4.0,2024
Trey Cabbage,86,18,8,0,1,4,,29,7.0,2024
Ben Gamel,81,20,4,0,1,18,,27,10.0,2024
Jason Heyward,228,48,12,2,10,22,,94,26.0,2024
Kyle Tucker,277,80,13,0,23,56,,162,66.0,2024
Yordan Alvarez,552,170,34,2,35,69,,313,120.0,2024
Yainer Diaz,585,175,29,3,16,24,,258,84.0,2024
Alex Bregman,581,151,30,2,26,44,,263,82.0,2024
Jeremy Peña,602,160,28,2,15,25,,237,70.0,2024
Adam Frazier,262,53,10,1,4,22,,77,20.0,2024
Yuli Gurriel,54,13,3,0,0,9,,16,6.0,2024
Freddy Fermin,339,92,14,0,6,23,,124,39.0,2024
Tommy Pham,440,109,20,3,9,35,,162,49.0,2024
MJ Melendez,412,85,23,3,17,35,,165,44.0,2024
Dairon Blanco,120,31,4,0,4,8,,47,14.0,2024
Robbie Grossman,208,44,8,0,3,34,,61,20.0,2024
Salvador Perez,590,160,28,0,27,44,,269,87.0,2024
Michael Massey,332,86,17,2,14,15,,149,43.0,2024
Nick Loftin,148,28,4,0,1,19,,35,10.0,2024
Nelson Velázquez,205,41,8,1,8,19,,75,20.0,2024
Tyler Gentry,5,0,0,0,0,0,,0,0.0,2024
Drew Waters,16,3,1,0,0,2,,4,1.0,2024
Garrett Hampson,213,49,13,1,0,14,,64,18.0,2024
Paul DeJong,445,101,17,0,24,23,,190,50.0,2024
Hunter Renfroe,385,88,18,0,15,36,,151,44.0,2024
Kyle Isbel,384,88,13,8,8,27,,141,39.0,2024
Vinnie Pasquantino,496,130,30,2,19,40,,221,70.0,2024
Maikel Garcia,575,133,27,5,7,42,,191,54.0,2024
Bobby Witt Jr.,636,211,45,11,32,57,,374,145.0,2024
James Outman,136,20,4,0,4,16,,36,9.0,2024
Miguel Rojas,307,87,21,0,6,23,,126,42.0,2024
Hunter Feduccia,12,4,0,0,0,2,,4,2.0,2024
Will Smith,476,118,24,2,20,51,,206,66.0,2024
Max Muncy,237,55,17,0,15,45,,117,41.0,2024
Shohei Ohtani,636,197,38,7,54,81,,411,159.0,2024
Andy Pages,403,100,23,1,13,29,,164,49.0,2024
Freddie Freeman,542,153,35,2,22,78,,258,96.0,2024
Austin Barnes,140,37,3,0,1,14,,43,14.0,2024
Tommy Edman,139,33,5,1,6,11,,58,17.0,2024
Chris Taylor,213,43,7,1,4,28,,64,19.0,2024
Kevin Kiermaier,259,51,9,3,5,12,,81,19.0,2024
Enrique Hernández,362,83,16,0,12,27,,135,38.0,2024
Gavin Lux,439,110,24,2,10,44,,168,54.0,2024
Mookie Betts,450,130,24,5,19,61,,221,83.0,2024
Teoscar Hernández,589,160,32,2,33,53,,295,98.0,2024
José Tena,161,43,5,0,3,7,,57,17.0,2024
Dylan Crews,119,26,5,1,3,11,,42,12.0,2024
Luis García Jr.,500,141,25,1,18,27,,222,71.0,2024
Joey Meneses,281,65,11,0,3,21,,85,24.0,2024
James Wood,295,78,13,4,9,39,,126,44.0,2024
Alex Call,99,34,9,0,3,12,,52,22.0,2024
Nasim Nuñez,61,15,1,0,0,12,,16,6.0,2024
Jacob Young,468,120,24,1,3,30,,155,47.0,2024
CJ Abrams,541,133,29,6,20,40,,234,70.0,2024
Trey Lipscomb,190,38,3,0,1,16,,44,12.0,2024
Keibert Ruiz,459,105,21,0,13,16,,165,42.0,2024
Stone Garrett,5,3,1,0,1,1,,7,5.0,2024
Darren Baker,14,7,2,0,0,0,,9,4.0,2024
Drew Millas,57,14,1,0,1,5,,18,6.0,2024
Riley Adams,116,26,5,1,2,10,,39,11.0,2024
Andrés Chaparro,121,26,12,0,4,7,,50,13.0,2024
Joey Gallo,223,36,9,0,10,32,,75,20.0,2024
Juan Yepez,226,64,15,0,6,18,,97,33.0,2024
Ildemaro Vargas,272,67,16,0,1,19,,86,25.0,2024
Pete Alonso,608,146,31,0,34,70,,279,89.0,2024
Harrison Bader,402,95,19,0,12,21,,150,41.0,2024
J.D. Martinez,434,102,24,1,16,49,,176,55.0,2024
DJ Stewart,158,28,4,0,5,31,,47,15.0,2024
Jeff McNeil,424,101,26,0,12,35,,163,48.0,2024
Jesse Winker,430,109,23,0,14,63,,174,61.0,2024
Luis Torrens,118,27,8,0,3,9,,44,12.0,2024
José Azocar,73,16,2,0,0,5,,18,5.0,2024
Francisco Alvarez,308,73,14,2,11,30,,124,38.0,2024
Francisco Lindor,618,169,39,1,33,56,,309,103.0,2024
Brandon Nimmo,571,128,25,3,23,77,,228,72.0,2024
Brett Baty,153,35,3,0,4,16,,50,15.0,2024
Tyrone Taylor,319,79,22,3,7,19,,128,37.0,2024
Luisangel Acuña,39,12,2,1,3,1,,25,8.0,2024
Jose Iglesias,270,91,16,1,4,12,,121,44.0,2024
Starling Marte,335,90,13,3,7,27,,130,42.0,2024
Mark Vientos,413,110,22,0,27,33,,213,68.0,2024
Shea Langeliers,482,108,18,2,29,41,,217,62.0,2024
Tristan Gray,28,3,1,0,0,3,,4,1.0,2024
Lawrence Butler,412,108,24,2,22,35,,202,65.0,2024
Armando Alvarez,37,9,1,0,0,2,,10,3.0,2024
Miguel Andujar,302,86,14,1,4,13,,114,36.0,2024
Darell Hernaiz,120,23,3,0,1,11,,29,8.0,2024
CJ Alexander,8,1,0,0,0,0,,1,0.0,2024
JJ Bleday,572,139,43,4,20,67,,250,81.0,2024
Max Schuemann,396,87,14,0,7,47,,122,37.0,2024
Esteury Ruiz,55,11,2,1,2,4,,21,5.0,2024
Brent Rooker,546,160,26,2,39,59,,307,111.0,2024
Ryan Noda,95,13,4,0,1,14,,20,5.0,2024
Jacob Wilson,92,23,2,2,0,8,,29,9.0,2024
Brett Harris,103,15,3,0,3,17,,27,7.0,2024
Nick Allen,97,17,4,0,1,5,,24,5.0,2024
Kyle McCann,140,33,4,0,5,16,,52,16.0,2024
Daz Cameron,170,34,5,1,5,13,,56,14.0,2024
Tyler Soderstrom,189,44,10,0,9,20,,81,25.0,2024
Tyler Nevin,245,50,10,0,7,25,,81,22.0,2024
Seth Brown,372,86,11,1,14,25,,141,39.0,2024
Zack Gelof,497,105,20,2,17,38,,180,48.0,2024
Oneil Cruz,541,140,34,3,21,51,,243,78.0,2024
Isiah Kiner-Falefa,465,125,18,4,8,16,,175,51.0,2024
Nick Yorke,37,8,0,0,2,4,,14,4.0,2024
